date,era,composite_gross,composite_net,spy,f_new,composite_cum,composite_net_cum,spy_cum
2007-01-03,nominate,0.00571860057181639,0.004211153256445277,-0.018126443,1.0,1.0057186005718164,1.0042111532564453,0.9818736
2007-03-02,nominate,0.06682244324939557,0.06638759658742899,0.07511057,0.2717948717948718,1.072923174683388,1.070878318187431,1.0556227
2007-04-30,nominate,0.013321195167033117,0.012978282947659903,-0.00087592565,0.22564102564102564,1.0872157936925781,1.0847764800033817,1.054698
2007-06-26,nominate,-0.0437532734207583,-0.04404745792362841,-0.0099912975,0.20512820512820512,1.03964654380378,1.036994833643891,1.0441602
2007-08-22,nominate,0.005608543604997962,0.005415175939657013,0.04309764,0.1282051282051282,1.045477446778489,1.042610343116588,1.089161
2007-10-18,nominate,-0.047766247747944246,-0.04794202852244234,-0.03867005,0.12307692307692308,0.9955389120407796,0.9926254883090992,1.0470431
2007-12-14,nominate,-0.040364276138784905,-0.04060046509371007,-0.06984521,0.1641025641025641,0.9553547044882601,0.9523244318198788,0.9739122
2008-02-13,nominate,-0.031373181421919805,-0.03158923561386584,-0.026067851,0.14871794871794872,0.9253821880220653,0.9222412309622797,0.94852436
2008-04-11,nominate,0.052607111747488666,0.052210434594524235,0.025752628,0.2512820512820513,0.9740638721964776,0.9703918464318093,0.9729514
2008-06-09,nominate,0.001153175485600899,0.000968364266547006,-0.05388072,0.12307692307692308,0.975187138775304,0.9713315392204425,0.9205281
2008-08-05,nominate,-0.05403219506804269,-0.05419476931329115,-0.09342295,0.11458333333333333,0.9224956370651504,0.9186904505256666,0.83452964
2008-10-01,nominate,-0.24502097986127191,-0.24527723187533246,-0.22601128,0.22631578947368422,0.6964648521536989,0.693356599870429,0.6459165
2008-11-26,nominate,0.014862807816549584,0.014473851623490352,-0.046259716,0.25555555555555554,0.7068162754022409,0.7033921404191213,0.6160366
2009-01-27,nominate,-0.01341605447603711,-0.013695546999161534,-0.05729172,0.18888888888888888,0.6973335897468947,0.6937588003011704,0.5807428
2009-03-25,nominate,0.16120185441653567,0.1605650269290808,0.08462005,0.3657142857142857,0.8097450575610339,0.8051522007538147,0.62988526
2009-05-21,nominate,0.0980823035491909,0.09767059987979798,0.063380264,0.25,0.8891667180941922,0.8837918991959792,0.66980755
2009-07-20,nominate,0.10750840526232919,0.1072210890036136,0.10274328,0.17297297297297298,0.9847596139688378,0.978553029080344,0.73862576
2009-09-15,nominate,0.03498241495862975,0.03468013529668457,0.03289348,0.19473684210526315,1.0192088834191957,1.0124893805238309,0.7629217
2009-11-10,nominate,0.054220020642009814,0.0539355869489222,0.03861846,0.17989417989417988,1.0744704101167042,1.0670985895419343,0.79238456
2010-01-08,nominate,0.047357114977424564,0.04716695423956141,-0.0053875805,0.12105263157894737,1.1253542288684415,1.117430379883959,0.7881155
2010-03-09,nominate,0.041891647197634496,0.04146401103620745,0.020172888,0.2736842105263158,1.1724971711965644,1.163763525487661,0.804014
2010-05-05,nominate,-0.08916902804008442,-0.08942067025282019,-0.11611904,0.18421052631578946,1.0679467380612182,1.0596990110227693,0.7106527
2010-07-01,nominate,0.01386689121137441,0.013642798035194525,0.036368925,0.14736842105263157,1.0827558392974552,1.0741562706082484,0.7364984
2010-08-27,nominate,0.14207211706167966,0.14183771578936066,0.11371735,0.1368421052631579,1.2365852536473405,1.2265121424321406,0.82025105
2010-10-25,nominate,0.10754351415545393,0.10735415761874756,0.06172736,0.11398963730569948,1.369571977377389,1.3581833202921083,0.870883
2010-12-21,nominate,0.05069647599738003,0.05047019650957152,0.06989159,0.14358974358974358,1.439004450255186,1.4267310993632734,0.93175036
2011-02-17,nominate,0.022827865518816548,0.022623320400224856,-0.017340194,0.13333333333333333,1.4718538503265899,1.4590084941491337,0.9155936
2011-04-15,nominate,-0.0005389436081136845,-0.0009770727891342812,-0.00972501,0.2923076923076923,1.4710606041018788,1.4575829366503847,0.90668947
2011-06-14,nominate,-0.11432474173492102,-0.11452229341177,-0.1243762,0.14871794871794872,1.3028819804615146,1.29065719590732,0.7939189
2011-08-10,nominate,0.05621099502952065,0.05596086941399436,0.028518414,0.15789473684210525,1.376118272989289,1.3628834947057218,0.8165602
2011-10-06,nominate,0.07731322867470003,0.07702409392877163,0.06563116,0.17894736842105263,1.482510419712343,1.467858361015908,0.870152
2011-12-02,nominate,0.05956044385913639,0.05925934841497105,0.04438667,0.18947368421052632,1.5708093983362048,1.554842691055178,0.9087751
2012-02-01,nominate,0.0637939481247829,0.06350758061129924,0.05650569,0.1794871794871795,1.6710175316075861,1.653586988595254,0.96012604
2012-03-29,nominate,-0.053144504285803085,-0.05351589013151359,-0.06258865,0.26153846153846155,1.5822121332374146,1.56509380899069,0.90003306
2012-05-25,nominate,-0.00969135587643144,-0.00992747824620932,0.0057824347,0.15897435897435896,1.566878352382203,1.549556374248658,0.9052375
2012-07-24,nominate,0.076197629504684,0.0759575814234652,0.093063034,0.14871794871794872,1.6862707685559317,1.6672569287159,0.9894816
2012-09-19,nominate,-0.0419475566978077,-0.04221282679855454,-0.066150814,0.18461538461538463,1.615535829884076,1.5968773007553259,0.92402667
2012-11-16,nominate,0.06277393774278983,0.06252871051414499,0.0663525,0.15384615384615385,1.7169493754904654,1.696727979220865,0.98533815
2013-01-16,nominate,0.0680647367585474,0.0678404667121828,0.055044044,0.14,1.8338130827609764,1.8118347972148272,1.0395751
2013-03-15,nominate,0.06180091494541462,0.06136301238540276,0.05960864,0.275,1.947144409114476,1.9230144383166243,1.1015428
2013-05-13,nominate,0.05183170895238165,0.05145311768358707,0.009287006,0.24,2.0480682314159546,2.021959526518567,1.1117729
2013-07-10,nominate,-0.00900121007226018,-0.009246451924088128,-0.006881658,0.165,2.0296331390226574,2.0032635749641607,1.104122
2013-09-05,nominate,0.08218661629192181,0.08197872848786658,0.055732384,0.12807881773399016,2.196441819032881,2.1674885756657805,1.1656574
2013-10-31,nominate,0.048421068737452666,0.048236971933881545,0.044313163,0.11707317073170732,2.302795879330088,2.2720416612571794,1.2173114
2013-12-30,nominate,-0.005772131894150823,-0.005975806495583935,0.009507252,0.13658536585365855,2.2895038377892876,2.2584643799396016,1.2288847
