decile,n,mean_realized,var_realized,p_win,mean_pred,min_pred_edge,max_pred_edge
0,4781,-0.996035676074168,0.0235849645872105,0.0010458063166701526,-0.8525824790986744,-1.0,-0.6357185412978195
1,4780,-0.4920300377614042,34.772845058404904,0.034518828451882845,-0.5684704310973301,-0.6356751523323572,-0.515769021712565
2,4780,-0.10679303088986433,20.599549174622688,0.13138075313807532,-0.4733746142932631,-0.5157297114224275,-0.43370719876735075
3,4781,0.056699210730239064,13.314090968560324,0.2445095168374817,-0.3982871065361911,-0.4336953832257179,-0.3649881615375524
4,4780,0.07287928804401893,5.92616345221642,0.34309623430962344,-0.33291313428565344,-0.3649850420005848,-0.30141520742387196
5,4780,0.09581494497134783,3.856160764715563,0.40460251046025103,-0.2701691338678055,-0.30139866976099483,-0.23875370330934287
6,4781,0.0456286137960708,2.290345407602989,0.43589207278811964,-0.20438442588948072,-0.2387274050179614,-0.16872678576088251
7,4780,0.02842580830877522,1.4592865046557755,0.44686192468619246,-0.12696709317998758,-0.16872206955682978,-0.07988179910953741
8,4780,0.010779080903383075,0.9327152604540884,0.45481171548117155,-0.01626912811916644,-0.07985847084223185,0.06405850952605463
9,4781,0.03649117002825306,0.8460874927737663,0.49299309767830995,0.3233162178525104,0.06408183385734878,3.892717049820428
