ticker,tier,dead,date,close_unadj,n_cands,cands,sym,src,n,implied_spot,identity_ok
ACEL,cap150,False,2019-05-15,10.33,2,TPGH TPGH.U,,,,,
ACU,cap150,False,2021-05-26,43.09,0,,,,,,
AGNT,cap150,False,2020-03-20,7.33,1,EXPI,,,,,
ALGT,cap150,False,2008-06-24,21.34,0,,,,,,
ARL,cap150,False,2021-08-18,11.53,1,ARB,,,,,
CBIO,cap150,False,2026-06-12,17.92,1,GLYC,,,,,
DMRC,cap150,False,2014-12-05,28.49,0,,,,,,
ELMT,cap150,False,2026-07-27,14.71,0,,,,,,
KNSA,cap150,False,2019-10-11,6.37,0,,,,,,
KRAQ,cap150,False,2026-02-23,10.07,2,KRAQU KRA,,,,,
LGVN,cap150,False,2021-12-14,17.72,0,,,,,,
LSAK,cap150,False,2020-05-05,3.59,1,UEPS,UEPS,related,58.0,3.875,True
MUZE,cap150,False,2026-02-17,9.99,1,MUZEU,,,,,
NGNE,cap150,False,2024-04-23,31.17,2,AQXP NLTX,,,,,
NUTX,cap150,False,2025-08-01,84.0,2,IGMB CLNH,,,,,
OACC,cap150,False,2024-11-12,10.04,1,OACCU,,,,,
OPFI,cap150,False,2020-12-23,10.14,2,FGNA FGNA.U,,,,,
PPC,cap150,False,2009-08-13,5.13,2,PGPDQ CHX.A,PGPDQ,related,48.0,2.5,False
SCLX,cap150,False,2025-09-22,30.0,2,VCKAU VCKA,,,,,
SENEA,cap150,False,2021-05-05,47.64,1,SENEB,,,,,
SRZN,cap150,False,2025-12-30,21.55,2,CHFW CHFW.U,,,,,
TONT,cap150,False,2024-07-18,10.02,3,GRAF.U GRAF TONT.U,,,,,
VRNS,cap150,False,2015-10-06,15.76,0,,,,,,
ANRZQ,cap150,True,2015-01-13,1.19,1,ANR,ANR,related,210.0,1.2000000000000002,True
ASBB,cap150,True,2017-05-25,40.6,0,,,,,,
ATX,cap150,True,2013-06-18,16.15,0,,,,,,
BZ2,cap150,True,2009-12-09,5.11,1,BZ,BZ,related,24.0,5.1,True
CLFC,cap150,True,2011-06-02,6.53,0,,,,,,
CLOE,cap150,True,2021-08-02,10.13,1,CLOEU,,,,,
CLUBQ,cap150,True,2011-10-21,8.26,1,CLUB,,,,,
CRWN,cap150,True,2015-05-01,3.87,0,,,,,,
ELVT,cap150,True,2017-10-02,6.27,0,,,,,,
FBRC,cap150,True,2010-07-16,3.42,1,FBCM,,,,,
GMRRQ,cap150,True,2010-10-12,4.4,1,GMR,GMR,related,74.0,4.4,True
GOAC,cap150,True,2022-01-05,9.85,1,GOAC.U,,,,,
GSQD,cap150,True,2021-12-10,9.9,1,GSQD.U,,,,,
HORI,cap150,True,2022-03-25,9.83,1,HORIU,,,,,
IOGPQ,cap150,True,2009-01-02,3.78,1,IO,IO,related,88.0,3.8000000000000003,True
KLDO,cap150,True,2020-06-29,7.38,0,,,,,,
NCOM,cap150,True,2016-09-14,27.9,0,,,,,,
NHWK1,cap150,True,2009-11-04,6.43,1,NHWK,NHWK,related,28.0,6.475,True
NOVB,cap150,True,2014-02-07,22.42,0,,,,,,
ONE2,cap150,True,2014-05-13,5.51,1,ONE,ONE,related,46.0,5.6,True
OPXT,cap150,True,2010-02-26,2.04,0,,,,,,
PKBO,cap150,True,2022-11-04,7.82,2,IGNY IGNYU,,,,,
RLOGQ,cap150,True,2012-06-14,8.48,2,RLOG RAQC,,,,,
RVIC,cap150,True,2021-04-28,19.2,2,RVI.W RVI,,,,,
SANB,cap150,True,2021-12-09,9.92,1,SANBU,,,,,
STND,cap150,True,2021-01-29,32.81,0,,,,,,
SWSS,cap150,True,2021-10-21,9.8,1,SWSSU,,,,,
TIGR1,cap150,True,2008-05-06,6.28,3,TIGR OMNS RDTA,,,,,
UNISQ,cap150,True,2013-11-26,4.05,1,UNIS,UNIS,related,24.0,4.05,True
VER,cap150,True,2013-02-22,14.5,2,VER-PF ARCP,,,,,
VIA2,cap150,True,2016-04-01,18.15,4,SPKEP VIA SPKE VIASP,VIA,related,72.0,45.1,False
VTAE,cap150,True,2015-04-24,14.05,0,,,,,,
YRIV,cap150,True,2019-01-30,2.1,1,YERR,,,,,
BV,cap2000,False,2018-08-08,22.2,0,,,,,,
BWIN,cap2000,False,2023-12-18,23.01,1,BRP,BRP,related,86.0,22.875,True
DHC,cap2000,False,2013-05-13,29.11,1,SNH,SNH,related,60.0,29.049999999999997,True
GDOT,cap2000,False,2010-11-23,52.84,0,,,,,,
NXH,cap2000,False,2021-09-28,82.32,3,BYON OSTK BBBY,OSTK,related,800.0,82.225,True
TFIN,cap2000,False,2021-11-04,125.95,1,TBK,TBK,related,204.0,125.7,True
APC1,cap2000,True,2010-07-29,49.95,3,ANDKU AEUA APC,APC,related,396.0,49.85,True
APPX1,cap2000,True,2008-04-01,12.69,1,APPX,APPX,related,76.0,12.700000000000001,True
AZEK,cap2000,True,2020-07-17,31.93,0,,,,,,
BEAT1,cap2000,True,2019-03-15,67.54,1,BEAT,BEAT,related,202.0,68.35000000000001,True
CBLK,cap2000,True,2018-06-14,30.9,0,,,,,,
CZR2,cap2000,True,2018-02-07,13.55,1,CZR,CZR,related,452.0,13.525,True
FLOW2,cap2000,True,2021-08-30,80.76,1,FLOW,FLOW,related,132.0,79.95,True
GRP1,cap2000,True,2008-03-10,48.92,1,GRP,GRP,related,110.0,49.2,True
GRUB1,cap2000,True,2014-06-20,34.95,1,GRUB,GRUB,related,64.0,34.775,True
HK1,cap2000,True,2009-12-31,23.99,1,HK,HK,related,148.0,24.025,True
INVN2,cap2000,True,2014-08-05,23.5,1,INVN,INVN,related,754.0,23.325,True
JEF1,cap2000,True,2010-11-05,25.4,1,JEF,JEF,related,132.0,25.349999999999998,True
LCINQ,cap2000,True,2015-04-22,66.45,2,LCI LCIN,LCI,related,122.0,66.60000000000001,True
NVT1,cap2000,True,2008-07-03,77.9,1,NVT,NVT,related,124.0,77.875,True
NVTAQ,cap2000,True,2021-09-20,30.83,1,NVTA,NVTA,related,280.0,30.825,True
RGC2,cap2000,True,2014-06-19,21.21,1,RGC,RGC,related,80.0,21.125,True
TIVO1,cap2000,True,2010-04-26,18.53,1,TIVO,TIVO,related,178.0,18.525,True
YRIV,cap2000,True,2018-06-28,11.63,1,YERR,,,,,
ANNX,cap500,False,2020-08-26,23.12,0,,,,,,
DKNG,cap500,False,2020-03-20,11.48,2,DEACU DEAC,DEAC,related,156.0,11.4,True
ETD,cap500,False,2008-04-16,28.49,1,ETH,ETH,related,48.0,28.200000000000003,True
EVI,cap500,False,2021-02-10,43.19,2,DCU MTRO,,,,,
GPGI,cap500,False,2022-02-04,7.82,3,CMPO DBDR DBDRU,,,,,
KMPR,cap500,False,2013-03-14,31.78,4,KMPB UTR UNIT KMPA,,,,,
KNTK,cap500,False,2021-04-07,55.63,3,KAACU ALTM KAAC,,,,,
MANE,cap500,False,2026-03-09,51.32,0,,,,,,
MVBF,cap500,False,2021-11-08,41.86,0,,,,,,
OCSL,cap500,False,2016-07-21,5.46,3,FSC OCSLL OSLE,FSC,related,30.0,7.4,False
PRDO,cap500,False,2019-03-18,16.56,1,CECO,CECO,related,184.0,16.599999999999998,True
TXNM,cap500,False,2009-05-26,9.61,1,PNM,PNM,related,34.0,9.45,True
VRTS,cap500,False,2017-03-23,101.4,1,VRTSP,,,,,
AAC2,cap500,True,2021-11-11,9.84,3,AAC.U1 AAC AAC.U,,,,,
ABII,cap500,True,2009-12-15,38.54,0,,,,,,
ACQR,cap500,True,2021-03-24,10.03,1,ACQRU,,,,,
APPCQ,cap500,True,2008-04-02,9.9,3,APP EDA.U EDA,APP,related,34.0,9.925,True
ASPX,cap500,True,2014-07-03,25.22,0,,,,,,
ATAC1,cap500,True,2008-02-01,25.75,1,ATAC,,,,,
BFYT,cap500,True,2018-06-21,33.15,1,HIIQ,HIIQ,related,122.0,33.2,True
CNR2,cap500,True,2020-11-02,8.09,1,CNR,CNR,related,52.0,8.100000000000001,True
EMS,cap500,True,2008-01-31,30.75,0,,,,,,
FTRCQ,cap500,True,2013-07-09,3.99,4,CZN FTRPR FRNTP FTR,FTR,related,174.0,4.025,True
HABT,cap500,True,2015-03-23,30.27,0,,,,,,
HK1,cap500,True,2008-10-15,9.91,3,HAWK HK BETA,HK,related,122.0,27.5,False
MAKO1,cap500,True,2011-06-15,28.49,0,,,,,,
MONT,cap500,True,2014-01-22,23.96,0,,,,,,
NEBLQ,cap500,True,2017-04-28,4.8,1,NE,NE,related,426.0,4.8,True
PQUEQ,cap500,True,2011-04-06,9.31,2,PQUE PQ,PQ,related,100.0,9.274999999999999,True
SIENQ,cap500,True,2018-08-31,25.12,1,SIEN,SIEN,related,80.0,24.925,True
SQBK,cap500,True,2015-07-06,27.3,0,,,,,,
SYUT,cap500,True,2011-05-12,11.29,0,,,,,,
TGNA,cap500,True,2009-06-24,3.53,1,GCI,GCI,related,84.0,3.6,True
VAQC,cap500,True,2023-01-11,10.13,0,,,,,,
WFTIQ,cap500,True,2015-12-11,8.85,3,WFT EVI WFTIF,WFT,related,686.0,8.84,True
