ticker,tier,dead,date,close_unadj,mcap,n,implied_spot,totvol,totoi,n_oi_pos,zero_bid,med_spread,earn_n,earn_covers_date
PRK,cap2000,False,2025-08-01,158.56,2567.3,76,159.1,0.0,59.0,5.0,0.21052631578947367,0.7730364873222015,115,True
RDN,cap2000,False,2022-06-10,20.16,3483.7,162,20.375,129.0,5085.0,37.0,0.38271604938271603,0.44340704340704346,122,True
SAIC,cap2000,False,2025-07-08,117.16,5491.6,300,117.625,14.0,3204.0,146.0,0.27666666666666667,0.16574585635359115,53,True
SHAK,cap2000,False,2021-02-04,116.87,4843.3,1464,116.825,2016.0,51913.0,744.0,0.13729508196721313,0.20327868852459025,47,True
SHC,cap2000,False,2025-10-31,16.6,4715.2,84,17.2,20.0,859.0,21.0,0.44047619047619047,0.40579710144927544,30,True
SRE,cap2000,False,2011-02-04,52.12,12511.7,94,51.725,471.0,47536.0,39.0,0.20212765957446807,0.24046920821114376,122,True
TFIN,cap2000,False,2021-11-04,125.95,3164.4,0,,,,,,,48,True
THG,cap2000,False,2017-06-20,86.93,3697.9,88,87.075,0.0,37.0,4.0,0.38636363636363635,0.4,122,True
TROX,cap2000,False,2014-02-19,22.47,2550.2,194,22.375,1515.0,15175.0,88.0,0.21649484536082475,0.12632978723404248,72,True
UAL,cap2000,False,2022-04-29,50.5,16499.9,1008,50.495,86633.0,1134798.0,880.0,0.08134920634920635,0.048780487804878016,122,True
UNM,cap2000,False,2016-12-13,43.59,10118.1,236,43.550000000000004,55.0,7706.0,88.0,0.2838983050847458,0.2222222222222222,122,True
USLM,cap2000,False,2025-04-04,85.77,2454.8,206,86.45,24.0,360.0,66.0,0.3058252427184466,0.20408163265306123,113,True
WAL,cap2000,False,2016-09-28,37.54,3944.4,68,37.375,0.0,3194.0,9.0,0.35294117647058826,0.36977075098814227,85,True
WING,cap2000,False,2024-09-09,364.91,10693.5,652,366.8,587.0,34687.0,498.0,0.0705521472392638,0.04394240317775572,45,True
XYL,cap2000,False,2019-02-21,74.32,13356.5,144,74.425,132.0,5386.0,61.0,0.22916666666666666,0.1782945736434109,60,True
ACCD,cap2000,True,2021-08-17,41.8,2761.9,94,42.1,97.0,6758.0,52.0,0.23404255319148937,0.2522727272727273,0,
ACIA,cap2000,True,2019-07-15,64.56,2621.1,168,64.55,1058.0,32729.0,116.0,0.3392857142857143,0.12462908011869422,0,
ALEX,cap2000,True,2017-10-17,45.39,2231.4,78,45.325,0.0,272.0,8.0,0.358974358974359,0.10117526826775675,0,
APC1,cap2000,True,2010-07-29,49.95,24712.5,0,,,,,,,0,
