ticker,sector,close,market_cap,volatility_60,q75_score,composite_score,blend_score,weight
SYY,Consumer Defensive,79.84,38251025917.44,0.011061671346800203,0.15050213,0.13548336744781217,0.058894230769230754,0.01233368522298773
UNF,Industrials,275.66,4985083129.18,0.011855752494812528,0.1390848,0.2093565551095453,0.08804086538461536,0.01150759283236317
IEX,Industrials,225.66,16635631731.36,0.011919147293311205,0.09605125,0.20586657607827474,0.03725961538461539,0.011446386983416086
HSIC,Healthcare,88.86,9903139722.12,0.012790364605143633,0.11474341,0.1781861686087969,0.05258413461538464,0.010666714878222532
COST,Consumer Defensive,910.18,403645537824.72,0.01293850990396376,0.18230414,0.09551464507252815,0.05799278846153849,0.010544581520147095
HIG,Financial Services,135.66,36746495791.32,0.013054693172135862,0.12184445,0.15430493143193394,0.045973557692307654,0.010450737572505897
IOSP,Basic Materials,93.37,2299800858.3900003,0.013124047182620146,0.15699776,0.13071448839719413,0.062199519230769246,0.010395510663223528
SBUX,Consumer Cyclical,102.01,116291400000.0,0.013700365567498216,0.11349575,0.1526326669623086,0.03485576923076922,0.009958214016948288
WM,Industrials,217.78,87049972771.52,0.013764904485651644,0.12899579,0.1615130826038864,0.05769230769230771,0.009911523365366647
AIZ,Financial Services,281.01,13860471764.67,0.013891691510676336,0.13178295,0.15780846835384857,0.05769230769230768,0.00982106263493711
SIGI,Financial Services,90.9,5414832917.1,0.01390446403467721,0.1693334,0.1073605454560443,0.05378605769230768,0.00981204108920144
KVUE,Consumer Defensive,18.39,35323024058.130005,0.013972387031969926,0.15211312,0.13975064053807024,0.06370192307692307,0.009764342493477395
MGM,Consumer Cyclical,40.74,10249888879.44,0.014117516637903114,0.17409909,0.14529942668163753,0.09525240384615385,0.009663963991038063
MCRI,Consumer Cyclical,119.28,2137798304.88,0.014284857005523415,0.14689906,0.1937814108913903,0.09254807692307693,0.009550755207337648
THG,Financial Services,224.48,7816443210.08,0.014344042793503424,0.1581968,0.1446774909366625,0.07662259615384615,0.009511347281630226
HLT,Consumer Cyclical,304.47,68525513147.700005,0.0143465437725126,0.14164904,0.17559682976239932,0.07872596153846151,0.009509689204236985
TDY,Technology,605.08,28048890618.84,0.014380900852741303,0.13478145,0.1299941615787943,0.03545673076923078,0.009486969823978016
CHE,Healthcare,519.01,6783440458.61,0.014385922934494262,0.16296212,0.27910287766828046,0.12800480769230768,0.009483657951791517
UTHR,Healthcare,497.97,21358277895.24,0.014403570939236264,0.13536097,0.21595219009809127,0.08834134615384615,0.009472038080496348
CAH,Healthcare,240.49,55932136826.72,0.014472293571815877,0.19619612,0.20659625572422127,0.16165865384615383,0.009427059488156725
PFE,Healthcare,27.79,158393929038.31,0.014489083878757778,0.19433586,0.100127041851883,0.07782451923076922,0.009416135179643488
LH,Healthcare,324.86,26346146000.0,0.014645169647426936,0.14998394,0.15153205676605214,0.07181490384615383,0.009315779585765778
UNH,Healthcare,400.84,359791918471.48,0.014685256018823664,0.20445111,0.16219193058011958,0.15384615384615385,0.00929035028444162
R,Industrials,246.89,9467458240.519999,0.014793768375785664,0.22320156,0.25824140562855236,0.22055288461538464,0.009222205523704563
CNXN,Technology,83.64,2110914600.3600001,0.014914930660965482,0.21604368,0.13291460843265154,0.15174278846153844,0.009147288414061249
CLH,Industrials,317.13,16740419958.24,0.015093234524214818,0.15827253,0.2248273934139798,0.11748798076923078,0.009039226960443316
CB,Financial Services,336.64,129875664533.76,0.01513049846960178,0.16097271,0.1257356610093297,0.06280048076923078,0.009016964821461509
GWW,Industrials,1289.17,60721121398.14001,0.015159232680892544,0.19384933,0.17038456077027245,0.14212740384615383,0.008999873232603728
WST,Healthcare,337.75,23769413615.5,0.015184603640524274,0.12589641,0.21720163282502922,0.08022836538461539,0.00898483593391088
CCK,Consumer Cyclical,113.23,12314952660.53,0.015247046488975652,0.15790723,0.20218156741489576,0.10907451923076922,0.008948039381281006
GHC,Consumer Defensive,1127.68,4775643607.04,0.015422400598187537,0.22696435,0.039758569902345706,0.0363581730769231,0.008846299352878308
FELE,Industrials,99.13,4382682426.32,0.015521808366510547,0.18646827,0.1395101272622593,0.10787259615384617,0.008789644170967656
EXPD,Industrials,185.96,24173056067.120003,0.015553962425275908,0.17811574,0.19659825754533578,0.13191105769230768,0.00877147370562433
MTX,Basic Materials,70.52,2195200296.24,0.01606288257709662,0.2411355,0.11998496762885565,0.18780048076923078,0.008493567189870878
XOM,Energy,160.66,660619775493.6,0.016170972742916036,0.2373399,0.1862211597627772,0.23227163461538464,0.00843679440937419
AIT,Industrials,326.66,11988048300.960001,0.0161933829165068,0.19069259,0.24771188049631565,0.16135817307692307,0.008425118650933937
CVS,Healthcare,96.07,122870683349.82999,0.016600543755733357,0.23227839,0.1474008559990712,0.19741586538461536,0.008218476119763065
FDX,Industrials,314.13,74317248586.44,0.01666874677497387,0.22895105,0.1338231093479858,0.1802884615384615,0.008184848823572718
ADM,Consumer Defensive,84.5,40725584763.5,0.01734863004032372,0.2452315,0.121703682255701,0.19561298076923078,0.007864089101817672
BMY,Healthcare,64.69,132143211096.64,0.01778484366588769,0.24678656,0.23037246881711637,0.2629206730769231,0.007671204481446128
JAZZ,Healthcare,240.07,15584042500.39,0.01799212832646995,0.2236767,0.15334353589609434,0.18599759615384615,0.007582825664424559
ALRM,Technology,56.01,2749543670.2799997,0.01800092657025226,0.26122305,0.07511336839930308,0.16766826923076922,0.007579119435831605
SPB,Consumer Defensive,87.48,2011654738.0800002,0.018111923812192714,0.25389048,0.0997464287750336,0.1881009615384615,0.0075326715066973025
PBI,Industrials,16.99,2329162701.8799996,0.018158194780281214,0.264459,0.2044175628754039,0.2908653846153846,0.007513476646903969
RS,Basic Materials,398.31,20335539802.05,0.018253853071538734,0.2462087,0.16800914141718465,0.23918269230769235,0.007474102694750999
GILD,Healthcare,146.64,181827023929.19998,0.018428788696758402,0.24591987,0.12734292056482696,0.20342548076923078,0.0074031546335747225
VTRS,Healthcare,16.61,19078094251.04,0.018570251324014315,0.26910794,0.19285457016743704,0.2944711538461538,0.00734675961305645
GM,Consumer Cyclical,85.79,75276567702.39,0.0186165005420055,0.25953194,0.21674859777899572,0.2860576923076923,0.007328507961189525
REGN,Healthcare,810.31,83425456326.28,0.018628920318485127,0.28875625,0.15582506571146051,0.3016826923076923,0.007323622093986753
ALV,Consumer Cyclical,120.25,8806775344.25,0.01863529259884093,0.26135728,0.12264310031510835,0.22866586538461542,0.007321117804185276
F,Consumer Cyclical,14.0,55826339338.0,0.01879217005261536,0.2769229,0.11469114100548541,0.24759615384615385,0.007260000949841816
COP,Energy,135.04,162228613164.16,0.018840628083006374,0.21657708,0.2081118894067241,0.19921874999999997,0.007241328252460589
NVST,Healthcare,26.81,4306160778.29,0.01895446326721534,0.24205442,0.19686569625130979,0.24368990384615385,0.007197838868249841
RUSHA,Consumer Cyclical,49.8,5813174716.799999,0.019431357857285864,0.25544786,0.08170212497422075,0.1685697115384615,0.0070211857263706885
PSX,Energy,259.14,103402280172.23999,0.019658687436566333,0.23472984,0.15186147867980648,0.2052283653846154,0.006939993978326666
LIVN,Healthcare,80.7,4446046014.900001,0.01975466256562216,0.2647426,0.11271214426781023,0.22626201923076927,0.006906277036034993
VMI,Industrials,483.57,9335250183.06,0.019965289250365736,0.21521439,0.15426197543249354,0.16826923076923078,0.006833418275123523
KR,Consumer Defensive,57.2,35043424530.4,0.02016061761024425,0.19873603,0.18966143554168147,0.1610576923076923,0.006767211950999528
AZZ,Industrials,139.47,4191282844.47,0.02031461982739049,0.24609481,0.1176591978323575,0.19350961538461536,0.006715910688499538
LSTR,Industrials,177.46,6022446710.5,0.020324926747989563,0.26347893,0.18888942958075217,0.2821514423076923,0.006712505000544295
NOV,Energy,21.39,7625067093.75,0.020396219168241397,0.2726128,0.19239846856596593,0.30168269230769235,0.006689042283091912
BC,Consumer Cyclical,71.95,4662174944.6,0.020535389432898097,0.23969758,0.10318751969848661,0.16646634615384615,0.006643710014722731
SNDR,Industrials,34.64,6072423141.36,0.0205452368030259,0.25120416,0.14560470612411353,0.23046875,0.006640525672183192
SNX,Technology,258.6,20677333267.2,0.020645982354012785,0.29246733,0.08785606714031108,0.23888221153846156,0.00660812210783758
HLIO,Industrials,71.42,2353330209.34,0.020743568794579132,0.25665686,0.11529940983433552,0.21123798076923078,0.006577034732192739
BFH,Financial Services,108.2,4156964797.6,0.020812857720835912,0.28770667,0.17301221071073566,0.3125,0.006555138859907457
TKR,Industrials,123.86,8583106478.54,0.021121718357033584,0.25792754,0.14590990938847834,0.24489182692307693,0.006459283763062986
JBHT,Industrials,274.78,25805946938.42,0.021479251199571635,0.23839432,0.30288636124386564,0.25180288461538464,0.006351765765200293
BWA,Consumer Cyclical,66.26,13494932616.04,0.021594264923102166,0.29372022,0.22325428020046978,0.3395432692307692,0.0063179354758039685
GKOS,Healthcare,185.04,10914387702.48,0.021701784950268026,0.29721832,0.18892771629422583,0.33203125,0.00628663369138636
UNFI,Consumer Defensive,44.93,2719124960.2,0.021703741945106676,0.35479942,0.19662447086389312,0.42728365384615385,0.006286066834771605
EXEL,Healthcare,57.67,14289570177.640001,0.021708013539275935,0.30399927,0.19801181708762755,0.34615384615384615,0.0062848298940266405
QRVO,Technology,104.07,9181225346.31,0.02179300501109115,0.25945202,0.17583039234770337,0.2692307692307692,0.006260319417269088
MPC,Energy,397.77,111703665978.51,0.021939459724696943,0.25942263,0.1594494537072759,0.2587139423076923,0.006218529268430334
FTI,Energy,78.16,30651568566.079998,0.022208669157657568,0.25843686,0.24163413870308503,0.28665865384615385,0.0061431493919362045
VLO,Energy,382.85,110233028443.85,0.022391524053271952,0.24457519,0.1907713290617987,0.2454927884615385,0.006092982867400689
PGNY,Healthcare,27.15,2083132565.6999998,0.02243006325828528,0.30191317,0.18458219358905487,0.3362379807692308,0.006082513939463863
CALY,Consumer Cyclical,15.57,2779408811.9700003,0.02263902590818339,0.24214701,0.20629675591531227,0.24699519230769235,0.006026371142685088
KNX,Industrials,70.79,11521497240.000002,0.022736088867240056,0.26114625,0.1952974814208486,0.27974759615384615,0.0060006438762718415
HQY,Healthcare,93.36,7722300034.56,0.0234035110379918,0.33101603,0.05589945158269058,0.24489182692307693,0.005829517298071327
BOX,Technology,34.3,4705986513.9,0.02350013853888137,0.26883942,0.15158972475926225,0.2707331730769231,0.005805547580319529
CNC,Healthcare,64.58,31902197100.0,0.023870145321080137,0.38770556,0.20248407236601712,0.4639423076923077,0.005715556842927626
LEA,Consumer Cyclical,128.91,6358455327.24,0.02387870786473154,0.31849012,0.081695132458928,0.26472355769230765,0.005713507330649288
YETI,Consumer Cyclical,40.74,2973563549.04,0.024247836421229012,0.2855291,0.16056443939165627,0.30318509615384615,0.00562652972667412
DINO,Energy,108.31,19255768685.19,0.024833044760668745,0.29523078,0.137769913766712,0.29537259615384615,0.005493936556972661
ELAN,Healthcare,23.97,11975935265.1,0.024913147199737896,0.3164119,0.08472132862160558,0.26712740384615385,0.005476272079868407
DBX,Technology,33.81,7631230925.85,0.02494784900536911,0.33396277,0.1679462216122426,0.3819110576923077,0.005468654728598632
ATI,Industrials,207.32,28230843803.559998,0.025401094894685953,0.32089415,0.12548231502488974,0.3203125,0.005371074475223451
GTX,Consumer Cyclical,27.99,5219950657.86,0.025609105320223195,0.27333006,0.20324105776805584,0.30709134615384615,0.005327447824732807
CROX,Consumer Cyclical,114.35,5482519326.25,0.02602832859152719,0.2632084,0.21441976045660724,0.2923677884615385,0.0052416416963472585
MOH,Healthcare,196.3,10246860000.0,0.02603492525614178,0.34651074,0.04269015335648926,0.24549278846153844,0.005240313582209789
XYZ,Technology,80.1,48123679500.0,0.026082339345905467,0.3729272,0.05956735905145435,0.3088942307692308,0.005230787416044953
ANDE,Consumer Defensive,70.92,2409547424.4,0.026154376946769822,0.39136943,0.07878499964156872,0.359375,0.005216380138178985
MUSA,Consumer Cyclical,517.81,9517527480.07,0.026169839701166528,0.31920153,0.13822561870673739,0.3293269230769231,0.005213297979257205
STLD,Basic Materials,240.31,34443172827.28,0.026218620613483592,0.33957058,0.0498275033418725,0.25060096153846156,0.005203598405989873
LFST,Healthcare,12.8,4890311795.2,0.026319813614272183,0.28059432,0.18360173230593793,0.3082932692307692,0.005183591891304096
WFRD,Energy,93.7,6716926009.1,0.026334821612289436,0.32335407,0.11198801597548819,0.30949519230769235,0.005180637804962738
CARG,Consumer Cyclical,32.77,2918937874.0600004,0.026343799071867482,0.30889866,0.15017450796772389,0.3269230769230769,0.005178872343331496
ENVA,Financial Services,225.79,5621803188.09,0.02659199882227742,0.34586453,0.06665584533512885,0.2854567307692308,0.005130534689903843
LFUS,Technology,422.95,10742400043.65,0.0268439782075894,0.33083212,0.09251597860996336,0.3049879807692308,0.005082375323677035
FTNT,Technology,157.47,115537888937.91,0.02706951208538069,0.28130597,0.17882995322898307,0.3079927884615385,0.0050400307179994655
DAN,Consumer Cyclical,31.29,3366074285.91,0.027303297931457242,0.35950688,0.15035680397414775,0.40564903846153844,0.0049968752043828574
BKNG,Industrials,180.3,135473904150.00002,0.0275270465109846,0.27207553,0.18671133354751623,0.2977764423076923,0.00495625901518835
