ticker,sector,close,market_cap,volatility_60,composite_score,weight
SLAB,Technology,220.0,7340687420.0,0.0024282829224226686,0.22710729463261062,0.04205885911643201
RAMP,Technology,37.74,2294402620.6800003,0.003182869375610349,0.2524719789564738,0.03208765339590104
PEN,Healthcare,319.26,12575466867.72,0.004090151994023304,0.18948694327434862,0.02496993008530013
AB,Financial Services,36.72,3417722041.68,0.009278504875089744,0.17054919123605228,0.011007248549624218
SYY,Consumer Defensive,79.84,38251025917.44,0.011061671346800203,0.23482987353666762,0.009232855156066094
UNF,Industrials,275.66,4985083129.18,0.011855752494812528,0.21270612214362203,0.008614451876732416
PG,Consumer Defensive,145.58,338390964874.80005,0.011946681868436074,0.1537675489048427,0.008548884991978332
HESM,Energy,40.97,5258535594.57,0.012582638387507,0.25160885034608516,0.008116803978918764
HSIC,Healthcare,88.86,9903139722.12,0.012790364605143633,0.22542905905486452,0.007984980294302245
COST,Consumer Defensive,910.18,403645537824.72,0.01293850990396376,0.22881365498554504,0.007893552664648397
SEIC,Financial Services,108.6,13034083165.199999,0.013010760073245269,0.2621480705754487,0.007849718906048382
V,Financial Services,368.64,657811734773.76,0.01310920720728017,0.1864177278551215,0.007790769320687424
ARLP,Basic Materials,26.66,3430043634.66,0.013129940689941572,0.1475331468038289,0.007778466920818002
BRC,Industrials,88.62,4156208344.6800003,0.0135225747941922,0.20033704838943678,0.007552615598981704
CL,Consumer Defensive,88.41,70478049811.89,0.013566591739665141,0.3685364055337254,0.007528111060525927
DCI,Industrials,90.99,10546746985.439999,0.013644716163948155,0.1878731332415566,0.007485007976850495
SBUX,Consumer Cyclical,102.01,116291400000.0,0.013700365567498216,0.34258657157670563,0.007454604683783093
ITW,Industrials,268.69,76522912000.0,0.013936651416067727,0.1932385964069257,0.007328217251043894
MA,Financial Services,570.89,500105314646.6,0.013948903192520545,0.30679169800689055,0.007321780638908996
OTIS,Industrials,70.06,26669693890.34,0.014092993684208924,0.1833904256304586,0.007246920818778873
GGG,Industrials,77.03,12475303062.72,0.01425783814622773,0.22563755798321145,0.007163134290175267
MCRI,Consumer Cyclical,119.28,2137798304.88,0.014284857005523415,0.2901087741682158,0.00714958569690426
CHE,Healthcare,519.01,6783440458.61,0.014385922934494262,0.3602565618210044,0.00709935746173961
UTHR,Healthcare,497.97,21358277895.24,0.014403570939236264,0.24226258085661898,0.0070906589594946804
PEP,Consumer Defensive,138.45,188969236205.09998,0.014688172280316616,0.21101534488813542,0.00695326875120308
CHD,Consumer Defensive,96.54,22899665181.780003,0.014712555778955933,0.18184662360287626,0.006941744919335862
CNXN,Technology,83.64,2110914600.3600001,0.014914930660965482,0.15433919996126144,0.00684755508762128
TJX,Consumer Cyclical,128.92,141808655944.12,0.014936081902791068,0.24844653307759598,0.006837858147385218
EW,Healthcare,86.72,49985408000.0,0.014968159494825547,0.18696592129422096,0.00682320423992804
FAST,Industrials,49.38,56663430154.740005,0.015047176513650434,0.24129673146606542,0.006787373646900614
GWW,Industrials,1289.17,60721121398.14001,0.015159232680892544,0.3063237409251759,0.006737201775241805
WST,Healthcare,337.75,23769413615.5,0.015184603640524274,0.18280658342502296,0.006725945026082129
FELE,Industrials,99.13,4382682426.32,0.015521808366510547,0.1924869477517444,0.006579826713320827
MNST,Consumer Defensive,43.15,84533083616.59999,0.015534429445340475,0.16594146739865598,0.006574480877355093
EXPD,Industrials,185.96,24173056067.120003,0.015553962425275908,0.34187987131896275,0.006566224511578191
VLTO,Industrials,95.53,23289578152.32,0.01565136835257845,0.1700172131727539,0.006525359765888297
MSM,Industrials,120.38,6722777353.24,0.015961646891329093,0.2959509602726296,0.006398513262719383
LVS,Consumer Cyclical,43.98,28485898072.32,0.015979421139772187,0.22373426055180395,0.006391396060950732
MTD,Healthcare,1325.52,26558859685.68,0.015999109520182662,0.2720774734760453,0.006383530858400349
PFGC,Consumer Defensive,96.79,15247622167.28,0.016065227200485862,0.21637615529210408,0.006357258945327836
MSA,Industrials,188.72,7280494700.08,0.016080228030392645,0.17526619791721432,0.006351328422456394
AIT,Industrials,326.66,11988048300.960001,0.0161933829165068,0.2660464374726767,0.0063069470941062794
FDX,Industrials,314.13,74317248586.44,0.01666874677497387,0.2780114289098818,0.006127083859858619
