,0
volatility_60,0.5911324
volatility_20,0.07937477
pct_from_high_252,0.07282495
pct_from_low_252,0.06363433
momentum_5,0.052866243
momentum_60,0.040385786
momentum_20,0.03565381
relative_strength_20,0.024311433
daily_return,0.021779196
volume_ratio_20,0.009056625
momentum_120,0.008980514
