ticker,close,market_cap,eligible_today,sector,volatility_60,q75_score,composite_score,blend_score,vol_quintile,rank_in_quintile,n_in_quintile,quintile_cutoff_rank,is_pick,weight,status
A,146.85,4.1401254e+10,True,Healthcare,0.018051017777612203,0.16467428,-0.020921362190916067,-0.171875,1.0,273.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AA,51.74,1.3654674e+10,True,Basic Materials,0.031669636795901276,0.3647835,-0.05609294781810354,0.09525240384615385,3.0,146.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AADX,12.39,2.1359557e+09,True,Industrials,0.0522194916853853,0.34455666,-0.03368593449342183,0.10606971153846151,4.0,114.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AAL,12.91,8.546032e+09,True,Industrials,0.029540799378953816,0.25582668,0.1216465746377801,0.21694711538461536,3.0,70.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AAMI,92.15,3.2704154e+09,True,Financial Services,0.025093955474968146,0.15014721,0.06773869618373915,-0.03155048076923078,2.0,233.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AAOI,111.55,9.433698e+09,True,Technology,0.08418679157805235,0.38021377,-0.2160859976961732,-0.0090144230769231,4.0,207.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AAON,79.4,6.546819e+09,True,Basic Materials,0.033994148943177135,0.27766427,-0.18842239505187805,-0.1475360576923077,3.0,305.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AAP,42.56,2.570624e+09,True,Consumer Cyclical,0.04523530703673314,0.306858,-0.19345882141283244,-0.10787259615384615,4.0,278.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AAPL,316.22,4.6149717e+12,True,Technology,0.019987895054847424,0.14649488,0.11113290501152459,0.02824519230769232,1.0,142.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
AAT,21.83,1.340454e+09,False,,,,,,,,,,,,INELIGIBLE_TODAY
AB,36.72,3.417722e+09,True,Financial Services,0.009278504875089744,0.04314614,0.2522143465600717,0.002103365384615391,0.0,56.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ABBV,248.78,4.3962345e+11,True,Healthcare,0.018757720829042573,0.12616314,0.16936390755584496,0.060096153846153855,1.0,111.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ABCB,84.99,5.7034445e+09,True,Financial Services,0.011977925467621761,0.108275,-0.06185672316903864,-0.29837740384615385,0.0,257.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ABCL,11.44,3.5076352e+09,True,Healthcare,0.06969086343195352,0.40808037,-0.04353807112931823,0.1505408653846154,4.0,84.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ABG,212.91,3.8221427e+09,True,Consumer Cyclical,0.02337778814010625,0.2515314,0.009386819831063887,0.02163461538461542,2.0,192.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ABM,50.6,2.9641948e+09,True,Industrials,0.01649178935834167,0.20357504,0.10708856168367911,0.09915865384615385,1.0,72.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ABNB,174.54,1.0451205e+11,True,Industrials,0.0305344612807616,0.30251172,0.15024797407775686,0.3161057692307692,3.0,25.0,331.0,33.0,True,0.004468104780926187,PICK
ABR,5.01,9.346558e+08,False,,,,,,,,,,,,INELIGIBLE_TODAY
ABSI,8.91,1.5290808e+09,False,,,,,,,,,,,,INELIGIBLE_TODAY
ABT,105.52,1.8259005e+11,True,Healthcare,0.0209633132028587,0.20292571,-0.02832161330427421,-0.13131009615384615,1.0,256.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ACA,145.65,7.1524065e+09,True,Industrials,0.010372020421280851,0.021788716,0.1643647011245252,-0.02824519230769232,0.0,75.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ACAD,27.58,4.7521864e+09,True,Healthcare,0.02290046805291625,0.24115929,-0.08623630137768487,-0.1361177884615385,2.0,282.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
ACDC,5.42,9.8710534e+08,False,,,,,,,,,,,,INELIGIBLE_TODAY
ACGL,95.71,3.265904e+10,True,Financial Services,0.014678415142588113,0.14778966,0.01196622689993494,-0.13912259615384615,0.0,157.0,331.0,33.0,False,,ELIGIBLE_NOT_PICKED
