ticker,sector,close,market_cap,volatility_60,q75_score,composite_score,blend_score,weight
SYY,Consumer Defensive,79.84,38251025917.44,0.011061671346800203,0.15050213,0.13548336744781217,0.058894230769230754,0.012323042261497935
UNF,Industrials,275.66,4985083129.18,0.011855752494812528,0.1390848,0.2093565551095453,0.08894230769230768,0.011497662721034661
IEX,Industrials,225.66,16635631731.36,0.011919147293311205,0.09605125,0.20586657607827474,0.03725961538461539,0.011436509687728766
HSIC,Healthcare,88.86,9903139722.12,0.012790364605143633,0.11474341,0.1781861686087969,0.052283653846153855,0.010657510375787205
COST,Consumer Defensive,910.18,403645537824.72,0.01293850990396376,0.18230414,0.09551464507252815,0.058293269230769246,0.010535482408809653
HIG,Financial Services,135.66,36746495791.32,0.013054693172135862,0.11958039,0.15430493143193394,0.04356971153846151,0.010441719440819123
IOSP,Basic Materials,93.37,2299800858.3900003,0.013124047182620146,0.15699776,0.13071448839719413,0.062199519230769246,0.010386540187842073
SBUX,Consumer Cyclical,102.01,116291400000.0,0.013700365567498216,0.11349575,0.1526326669623086,0.03515625,0.009949620892803044
WM,Industrials,217.78,87049972771.52,0.013764904485651644,0.126618,0.1615130826038864,0.056189903846153855,0.009902970531434565
AIZ,Financial Services,281.01,13860471764.67,0.013891691510676336,0.13178295,0.15780846835384857,0.05769230769230768,0.00981258786121598
SIGI,Financial Services,90.9,5414832917.1,0.01390446403467721,0.1629527,0.1073605454560443,0.04597355769230768,0.009803574100336342
KVUE,Consumer Defensive,18.39,35323024058.130005,0.013972387031969926,0.15211312,0.13975064053807024,0.06400240384615383,0.009755916664598808
CSX,Industrials,49.0,90771270933.0,0.01405063797504357,0.101868495,0.1679018955449506,0.030048076923076927,0.00970158392320239
MGM,Consumer Cyclical,40.74,10249888879.44,0.014117516637903114,0.17409909,0.14529942668163753,0.09555288461538464,0.00965562478059643
MCRI,Consumer Cyclical,119.28,2137798304.88,0.014284857005523415,0.14556456,0.1937814108913903,0.08984375,0.009542513686816216
THG,Financial Services,224.48,7816443210.08,0.014344042793503424,0.1581968,0.1446774909366625,0.07662259615384615,0.009503139766925232
HLT,Consumer Cyclical,304.47,68525513147.700005,0.0143465437725126,0.14164904,0.17559682976239932,0.07902644230769229,0.009501483120317155
TDY,Technology,605.08,28048890618.84,0.014380900852741303,0.13478145,0.1299941615787943,0.03545673076923078,0.009478783345024973
CHE,Healthcare,519.01,6783440458.61,0.014385922934494262,0.16296212,0.27910287766828046,0.12860576923076922,0.00947547433071327
UTHR,Healthcare,497.97,21358277895.24,0.014403570939236264,0.13536097,0.21595219009809127,0.08834134615384615,0.00946386448641656
CAH,Healthcare,240.49,55932136826.72,0.014472293571815877,0.19619612,0.20659625572422127,0.16165865384615383,0.009418924706923014
PFE,Healthcare,27.79,158393929038.31,0.014489083878757778,0.19433586,0.100127041851883,0.07782451923076922,0.00940800982519445
LH,Healthcare,324.86,26346146000.0,0.014645169647426936,0.14998394,0.15153205676605214,0.07181490384615383,0.009307740829985475
UNH,Healthcare,400.84,359791918471.48,0.014685256018823664,0.20445111,0.16219193058011958,0.15414663461538464,0.009282333472068322
R,Industrials,246.89,9467458240.519999,0.014793768375785664,0.22320156,0.25824140562855236,0.22115384615384617,0.009214247514685749
CNXN,Technology,83.64,2110914600.3600001,0.014914930660965482,0.21604368,0.13291460843265154,0.15204326923076922,0.009139395052380065
CLH,Industrials,317.13,16740419958.24,0.015093234524214818,0.15827253,0.2248273934139798,0.11748798076923078,0.009031426846957511
CB,Financial Services,336.64,129875664533.76,0.01513049846960178,0.16097271,0.1257356610093297,0.06340144230769232,0.009009183918380669
GWW,Industrials,1289.17,60721121398.14001,0.015159232680892544,0.19384933,0.17038456077027245,0.14212740384615383,0.008992107078166034
WST,Healthcare,337.75,23769413615.5,0.015184603640524274,0.12589641,0.21720163282502922,0.08022836538461539,0.008977082755431952
CCK,Consumer Cyclical,113.23,12314952660.53,0.015247046488975652,0.15790723,0.20218156741489576,0.10907451923076922,0.008940317955217153
FELE,Industrials,99.13,4382682426.32,0.015521808366510547,0.18646827,0.1395101272622593,0.10877403846153846,0.008782059427014061
EXPD,Industrials,185.96,24173056067.120003,0.015553962425275908,0.17811574,0.19659825754533578,0.13221153846153844,0.008763904641296038
MTX,Basic Materials,70.52,2195200296.24,0.01606288257709662,0.23294525,0.11998496762885565,0.1736778846153846,0.00848623793613378
XOM,Energy,160.66,660619775493.6,0.016170972742916036,0.2373399,0.1862211597627772,0.23317307692307693,0.008429514145902822
AIT,Industrials,326.66,11988048300.960001,0.0161933829165068,0.19069259,0.24771188049631565,0.16165865384615383,0.008417848462687061
CVS,Healthcare,96.07,122870683349.82999,0.016600543755733357,0.23227839,0.1474008559990712,0.19861778846153844,0.008211384247117863
FDX,Industrials,314.13,74317248586.44,0.01666874677497387,0.22895105,0.1338231093479858,0.18149038461538458,0.008177785968533519
ADM,Consumer Defensive,84.5,40725584763.5,0.01734863004032372,0.2452315,0.121703682255701,0.19561298076923078,0.007857303036181186
BMY,Healthcare,64.69,132143211096.64,0.01778484366588769,0.24678656,0.23037246881711637,0.2632211538461538,0.007664584859459652
JAZZ,Healthcare,240.07,15584042500.39,0.01799212832646995,0.2236767,0.15334353589609434,0.18659855769230768,0.007576282306128056
ALRM,Technology,56.01,2749543670.2799997,0.01800092657025226,0.25967968,0.07511336839930308,0.16586538461538464,0.0075725792757072195
SPB,Consumer Defensive,87.48,2011654738.0800002,0.018111923812192714,0.25389048,0.0997464287750336,0.1884014423076923,0.007526171427336462
PBI,Industrials,16.99,2329162701.8799996,0.018158194780281214,0.264459,0.2044175628754039,0.29116586538461536,0.007506993131137049
RS,Basic Materials,398.31,20335539802.05,0.018253853071538734,0.2462087,0.16800914141718465,0.23948317307692307,0.007467653155484118
GILD,Healthcare,146.64,181827023929.19998,0.018428788696758402,0.24591987,0.12734292056482696,0.20372596153846156,0.0073967663166813035
VTRS,Healthcare,16.61,19078094251.04,0.018570251324014315,0.26910794,0.19285457016743704,0.2947716346153846,0.007340419960452799
GM,Consumer Cyclical,85.79,75276567702.39,0.0186165005420055,0.25953194,0.21674859777899572,0.28665865384615385,0.007322184058268506
REGN,Healthcare,810.31,83425456326.28,0.018628920318485127,0.28875625,0.15582506571146051,0.3019831730769231,0.007317302407169481
ALV,Consumer Cyclical,120.25,8806775344.25,0.01863529259884093,0.26135728,0.12264310031510835,0.22926682692307693,0.0073148002783652594
F,Consumer Cyclical,14.0,55826339338.0,0.01879217005261536,0.2769229,0.11469114100548541,0.24789663461538464,0.007253736162867926
COP,Energy,135.04,162228613164.16,0.018840628083006374,0.21657708,0.2081118894067241,0.19951923076923075,0.00723507957849717
NVST,Healthcare,26.81,4306160778.29,0.01895446326721534,0.24205442,0.19686569625130979,0.24399038461538464,0.007191627722067696
RUSHA,Consumer Cyclical,49.8,5813174716.799999,0.019431357857285864,0.25544786,0.08170212497422075,0.1688701923076923,0.007015127017400301
PSX,Energy,259.14,103402280172.23999,0.019658687436566333,0.23472984,0.15186147867980648,0.20643028846153846,0.006934005331193605
LIVN,Healthcare,80.7,4446046014.900001,0.01975466256562216,0.2647426,0.11271214426781023,0.2265625,0.006900317483865186
VMI,Industrials,483.57,9335250183.06,0.019965289250365736,0.21521439,0.15426197543249354,0.16856971153846156,0.006827521594104759
KR,Consumer Defensive,57.2,35043424530.4,0.02016061761024425,0.19873603,0.18966143554168147,0.1610576923076923,0.0067613724006230095
AZZ,Industrials,139.47,4191282844.47,0.02031461982739049,0.24609481,0.1176591978323575,0.19381009615384615,0.0067101154069162715
LSTR,Industrials,177.46,6022446710.5,0.020324926747989563,0.26347893,0.18888942958075217,0.2821514423076923,0.0067067126577911584
NOV,Energy,21.39,7625067093.75,0.020396219168241397,0.2726128,0.19239846856596593,0.3019831730769231,0.006683270186744758
BC,Consumer Cyclical,71.95,4662174944.6,0.020535389432898097,0.23969758,0.10318751969848661,0.1670673076923077,0.006637977036415139
SNDR,Industrials,34.64,6072423141.36,0.0205452368030259,0.25120416,0.14560470612411353,0.23046875,0.006634795441702743
