ticker,allocation_pct,buy_proba,rank,percentile,close,suggested_stop_loss_price,stop_loss_pct,market_cap,momentum_20,momentum_60,relative_strength_20,pct_from_high_252,volatility_20
RAPP,14.139,0.4639,1,0.0006,46.09,39.18,0.15,2211319202.0,-0.0189,0.309,-0.0116,-0.1221,0.0237
PLSE,10.99,0.4635,2,0.0012,48.79,41.47,0.15,3479829996.0,0.1754,0.8144,0.1827,-0.1082,0.0379
IMVT,20.929,0.4515,6,0.0037,39.57,33.63,0.15,8173289627.0,-0.008,0.2035,-0.0007,-0.1199,0.0234
SNX,22.23,0.2951,484,0.3014,258.6,219.81,0.15,20677333267.0,0.0192,-0.0667,0.0265,-0.1087,0.0184
CAH,31.713,0.2208,898,0.5592,240.49,204.42,0.15,55932136827.0,0.014,0.0874,0.0213,-0.0327,0.0161
