ticker,buy_proba,close,momentum_20,momentum_60,momentum_120,relative_strength_20,pct_from_high_252,pct_from_low_252,volatility_20
CAR,0.555,136.88999938964844,-0.012408925857653297,-0.27804441248350975,0.343639606204013,-0.005099993216056475,-0.8082692479981507,0.5610673460879104,0.025145596126055
MARA,0.5119,11.470000267028809,0.19979077024859482,-0.15723728461657427,0.2413420509902009,0.20709970289019164,-0.4978108498073194,0.7043090987402217,0.06263796861476759
VSH,0.5065,31.614999771118164,-0.04601688734510423,-0.4604948704037942,0.7881786892199851,-0.03870795470350741,-0.512865962591516,1.6747039414021172,0.03059287146009171
HUT,0.4855,95.20999908447266,0.11148721706846709,-0.18141173516482545,0.8383857385862183,0.11879614971006391,-0.2842430008537901,2.736656232141999,0.056248175960305104
GPCR,0.4829,46.470001220703125,-0.13632560250663295,0.07321020876437734,-0.17239537029601637,-0.12901666986503613,-0.5045313917572442,1.3004950230477579,0.024219339274155573
GFS,0.4823,45.595001220703125,-0.08901095073461318,-0.43528607348201365,0.0542196814035405,-0.08170201809301636,-0.49316360955173744,0.43969059396474425,0.027038925539940955
MXL,0.4801,64.19000244140625,-0.062098185978858855,-0.20841034233204891,2.818560647277671,-0.054789253337262034,-0.49863310901018215,3.918774061549774,0.0583434433145774
INTC,0.48,100.95999908447266,0.03527484167167305,-0.1367989066795754,1.2914206976324376,0.04258377431326987,-0.2836668274754337,3.19269100516402,0.031171626468659834
AGX,0.4795,421.3500061035156,-0.2751092471105798,-0.3243914564870286,-0.11038151772549165,-0.267800314468983,-0.4723561298046699,1.0670624689625412,0.03414287950920332
PL,0.4789,17.790000915527344,-0.22987010295471422,-0.4793678118573792,-0.34305757143101645,-0.2225611703131174,-0.6538910430465567,0.9832776349983366,0.029170818723002766
