ticker,close,buy_proba,momentum_20,momentum_60,momentum_120,relative_strength_20,pct_from_high_252,pct_from_low_252,volatility_20
INTC,88.46,0.60683155,0.025028968713789013,-0.2286362050924312,0.9407634927599824,-0.007230851390681581,-0.3723570313608628,2.685833333333333,0.0458101837669083
AMD,478.175,0.5809358,0.05181250274954907,-0.07348377787950133,1.3663828546311674,0.01955268264507848,-0.17685179340268514,2.1637885404260953,0.04760199000253677
CAT,812.86,0.43477413,-0.03328772155051962,-0.07193989975681325,0.11051003909354362,-0.06554754165499022,-0.236679514758578,0.958132588167277,0.027943318075753402
ORCL,145.43,0.4130885,0.21232077359119716,-0.3558774027814686,-0.04554702369232788,0.18006095348672657,-0.5570614795194311,0.26471867118879916,0.03691346566745978
AVGO,359.08,0.40633637,-0.05731012575148997,-0.19627547051671945,0.13085377759581784,-0.08956994585596056,-0.2543555608871907,0.22381650250502694,0.028620976353400687
GOOGL,346.325,0.39080772,0.03780231451866323,-0.08943313877057368,0.14249661861247653,0.0055424944141926336,-0.13982166807411459,0.6719368543014387,0.02411951756043642
CRM,207.67,0.3816373,0.14418732782369137,0.0867084726997136,0.07556452169500183,0.11192750771922078,-0.21996021410208416,0.38335997868371957,0.026443673694904787
SLB,53.95,0.37481034,0.07943177270908386,-0.010999083409715782,0.12653998747128847,0.047171952604613265,-0.06998790586070396,0.7008196721311477,0.020131240548391
ADBE,271.68,0.36868128,0.09029621519769715,0.048107752328527154,-0.005272407732864637,0.058036395093226556,-0.2606542007471344,0.40468434930975655,0.029744740383610788
TGT,163.53,0.35656807,0.13404993065187254,0.2869284646257968,0.36184208258091144,0.10179011054740195,-0.037435987992230184,0.9542304015296366,0.020613857411929427
