timepoint,old_return_pct,new_return_pct,spy_return_pct,universe_avg_return_pct,pool_size
2021-01-15,0.33848624936599603,,0.056476533173958725,-0.3682396222790631,0
2022-01-15,-0.1298051784360983,-0.015996204135754463,-0.06592165048616994,-0.5971390438631755,7771
2023-01-15,-0.08842262073940622,0.28853116912235366,0.04572094038665475,-0.22408367231083123,14849
2024-01-15,0.16333906310083057,0.15197192264082543,0.055643774595746764,0.01078408534711549,21871
2025-01-15,0.03352713039822224,-0.004906532737370617,0.01070178452649495,-0.1023728640756768,29478
2026-01-15,-0.042361644677923076,-0.057152754357454816,0.0012984440933483388,0.360747605936159,36271
