decile,n,mean_realized,p_win
0,4549,-0.9962579377057202,0.0010991426687183997
1,4548,-0.5923819846360934,0.029463500439753737
2,4548,-0.11866512374917933,0.11873350923482849
3,4548,0.06434425548786102,0.2407651715039578
4,4548,0.10227493195883917,0.3390501319261214
5,4548,0.0944764142705465,0.4019349164467898
6,4548,0.05922462609986699,0.44700967458223395
7,4548,0.02687478404104826,0.44964819700967457
8,4548,0.019102322993162786,0.46811785400175904
9,4549,0.03246986026429975,0.4939547153220488
