decile,n,mean_realized,p_win
0,4549,-0.9890534491792217,0.0015387997362057595
1,4548,-0.6053784915302542,0.02704485488126649
2,4548,-0.12541176216085986,0.1171943711521548
3,4548,0.0895934507595008,0.2434036939313984
4,4548,0.10877558580087134,0.3405892700087951
5,4548,0.08519448317115744,0.40369393139841686
6,4548,0.06236327337009593,0.4386543535620053
7,4548,0.018115270164853467,0.45030782761653476
8,4548,0.02062969338562904,0.46855760773966576
9,4549,0.02663379435837818,0.49879094306440974
