n_windows,years,model_mult,spy_mult,mult_ratio,model_cagr,spy_cagr,excess_cagr,mean_excess,t_excess,win_rate,sharpe,info_ratio,vol_ann,max_dd,skew,kurt,mean_exposure,mean_turnover,mean_n,mean_ic,t_ic,n_ic,decile_volq_excess,t_decile,n_decile,cell_id,sig_features,sig_horizon,sig_label,sig_label_basis,sig_model,sig_depth,sig_eta,sig_rounds,sig_train,sig_train_cap,sig_universe,sig_cap_tier,sig_step,sig_seed,prt_top_n,prt_weighting,prt_bucket,prt_cost_bps,prt_cost_model,prt_untradable,sig_shuffle_col,sig_shuffle_seed,sig_train_exclude,null_p50,null_p95,null_pctile,vs_null
82,13.02,7.088942627936525,2.142442100631625,3.308814098568449,0.1623086266705982,0.06026048372405235,0.10204814294654585,0.017390605682141267,2.476334312183972,0.6219512195121951,0.7620982327817732,0.6862451121691724,0.2358135621046357,-0.504521275652154,-0.2680574410610187,3.5618544638288774,1.0,0.948780487804878,5.0,0.002982221101157331,0.13832292292327428,82,0.006189883578712216,2.144698422405333,82,price_fund_path_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufaccel_2012,price_fund_path,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,accel_20,12.0,,,,,
82,13.02,6.926944634552001,2.142442100631625,3.233200389644056,0.16024697939605415,0.06026048372405235,0.0999864956720018,0.016565989957098376,2.339910652317859,0.5853658536585366,0.7776085117630135,0.648439203125824,0.22443202500405895,-0.36580983119197585,0.23138139326678372,3.2789191717515678,1.0,0.948780487804878,5.0,0.003205301309461414,0.14844643101401755,82,0.006206667364537839,2.1177785993464573,82,pf_gross_margin_delta_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufgross_margin_delta4,pf_gross_margin_delta,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,gross_margin_delta,4.0,,,,,
82,13.02,6.36594736050688,2.142442100631625,2.9713509450874307,0.15274610142395417,0.06026048372405235,0.09248561769990182,0.015554962903138307,2.1284540706224364,0.6219512195121951,0.7516388182440737,0.5898400693535726,0.22371585436656174,-0.45628177564551553,-0.08788980415226988,2.6015931471760587,1.0,0.9365853658536584,5.0,0.004232421707379201,0.19657382639618987,82,0.006495864675938941,2.2221714527105827,82,pf_roe_delta_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40,pf_roe_delta,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,,0.0,,,,,
82,13.02,6.294528541531122,2.142442100631625,2.9380157063172896,0.1517477516025283,0.06026048372405235,0.09148726787847594,0.015239810554122277,2.2623657702388886,0.5609756097560976,0.7541844838280153,0.626949860576798,0.22032926638280617,-0.3465961704761634,0.19051927751652362,2.773393822577838,1.0,0.8853658536585365,5.0,0.002046600730959627,0.09088477204398411,82,0.002013238572068466,0.8067141035758819,82,price_fund_h40_q75_trd_xgb_d3e01r100_expanding_pit_s40,price_fund,40,q75,tradable,xgb,3,0.1,100,expanding,0,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,,,,,,,
82,13.02,6.2847833662247,2.142442100631625,2.9334670768334177,0.15161071569946705,0.06026048372405235,0.0913502319754147,0.015242121042867542,2.287884150544263,0.5975609756097561,0.7526656702624536,0.6340215486234709,0.22079320264921296,-0.3457939726540741,0.1840854641702218,3.154724242468397,1.0,0.9439024390243902,5.0,0.002757451938917724,0.12774638848133787,82,0.006084796699273413,2.0629718054595902,82,pf_earnings_move_sens_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufearnings_move_sens7,pf_earnings_move_sens,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,earnings_move_sens,7.0,,,,,
82,13.02,6.272444091936836,2.142442100631625,2.9277076333066936,0.15143692005239107,0.06026048372405235,0.09117643632833872,0.016034207189518108,2.012081027304187,0.5487804878048781,0.7088257455356876,0.5575906142729425,0.24148595430811415,-0.4183349335365416,-0.15342900532773365,2.561876682882327,1.0,0.9536585365853659,5.0,0.005535629702175266,0.26270664667213833,82,0.005294533436762833,1.8313928286933598,82,pf_rate_beta_x_move_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufrate_beta_x_move4,pf_rate_beta_x_move,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,rate_beta_x_move,4.0,,,,,
82,13.02,6.216004199082386,2.142442100631625,2.9013639142219114,0.15063793241706502,0.06026048372405235,0.09037744869301267,0.015137958004475255,2.2491307022962825,0.5975609756097561,0.7469190135617118,0.6232821406570146,0.22161374364528316,-0.36580983119197585,0.15887243087674635,3.106274517372541,1.0,0.9463414634146341,5.0,0.002842247960157861,0.13168953697665536,82,0.005668827231282852,1.9250332297193156,82,pf_earnings_move_sens_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufearnings_move_sens3,pf_earnings_move_sens,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,earnings_move_sens,3.0,,,,,
82,13.02,6.136300642354743,2.142442100631625,2.864161715523452,0.1494981309862804,0.06026048372405235,0.08923764726222805,0.01521742406469091,2.260934635942631,0.5975609756097561,0.7455006943380965,0.6265532627059724,0.22270661991295956,-0.5054519308517058,-0.6463294833213807,4.201869954879634,1.0,0.9408536585365853,4.987804878048781,0.0018733172862576716,0.08971623135255241,82,0.005287525178357129,1.8473393463295258,82,pf_days_to_next_filing_seasonal_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufdays_to_next_filing_seasonal0,pf_days_to_next_filing_seasonal,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,days_to_next_filing_seasonal,0.0,,,,,
82,13.02,6.089404233407541,2.142442100631625,2.842272485035787,0.1488210850685443,0.06026048372405235,0.08856060134449195,0.014961911582429004,2.173382670448336,0.5975609756097561,0.7329123731430757,0.6022907436730414,0.2243363723943885,-0.36580983119197585,0.21569597749758282,3.0721358634134033,1.0,0.9487804878048779,5.0,0.003384466864023526,0.15674896057148904,82,0.0052396825765256205,1.8080966367266427,82,pf_revenue_growth_delta_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufrevenue_growth_delta6,pf_revenue_growth_delta,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,revenue_growth_delta,6.0,,,,,
82,13.02,6.05358084572272,2.142442100631625,2.8255516655213366,0.1483006501437325,0.06026048372405235,0.08804016641968015,0.014834977088000224,2.1416387000683152,0.6219512195121951,0.7352132328245703,0.5934938116889589,0.22254708184690186,-0.36580983119197585,0.19853695601012888,3.3167876494471944,1.0,0.9487804878048779,5.0,0.0025770076113931415,0.11965600083636713,82,0.00605982355647077,2.0057998439026186,82,pf_realized_skew_120_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40_shufrealized_skew_1201,pf_realized_skew_120,40,q75,tradable,xgb,3,0.1,100,expanding,500000,pit,all,40,0,5,invvol,volq,15.0,turnover,drop,realized_skew_120,1.0,,,,,
