column,panel,n_null,decile_volq_excess,null_decile_volq_excess,pct_decile_volq_excess,mult_ratio,null_mult_ratio,pct_mult_ratio,info_ratio,null_info_ratio,pct_info_ratio,t_decile_volq_excess,p_decile_volq_excess,t_mult_ratio,p_mult_ratio,t_info_ratio,p_info_ratio,q_decile_volq_excess,q_mult_ratio,q_info_ratio
days_to_next_filing_seasonal,events,8,0.0060818340624505,0.004466738248611662,100.0,1.9713713354433424,1.7990578277001323,62.5,0.4090585605103867,0.3544525831675686,75.0,3.595379224085219,0.0002049394057242783,0.4668165224317565,0.3205748177387683,0.5067997179740189,0.30643251161495483,0.005738303360279792,0.7480079080571259,0.7150091937682279
upside_vol_ratio_120,events,8,0.0065937077078474,0.0057369416615896,100.0,2.6379042456182034,1.8444448774137188,100.0,0.571925184386861,0.37730746146171656,100.0,1.9072545518493365,0.028974943645411498,2.1495699774628463,0.016407416406550062,1.8062529395269826,0.036206433166311246,0.40564921103576096,0.20197420742086708,0.42677738121616327
roe_delta,events,8,0.0064958646759389,0.005791934847426775,100.0,2.9713509450874307,2.3090124883935044,100.0,0.5898400693535726,0.48959067695276076,100.0,1.5670244817431682,0.05936100873234046,1.794348795263607,0.03714932511042327,0.930417625836714,0.17664971958241854,0.5540360815018442,0.2080362206183703,0.5532523629576998
realized_skew_120,events,8,0.0061601020401675,0.005614376699220588,100.0,1.3707518109042027,2.2234082943415645,0.0,0.2186416127599343,0.47512850469639334,0.0,1.2148440582195323,0.11294353121226258,-2.3099415689470466,0.9890336057938134,-2.3804625578142207,0.9908752282853182,0.790604718485838,0.9998327207982528,0.9999608704950163
filed_item502_60d,edgar,8,0.0067119434259149,0.006309137930218563,87.5,2.5232043590937994,1.8184997457782592,100.0,0.5600350075283225,0.3926593523097447,100.0,0.896688913539882,0.18549248476375652,1.909123441557581,0.028853458202981012,1.5534184898468515,0.06096819731659475,0.9226653977436493,0.20197420742086708,0.42677738121616327
revenue_growth_delta,events,8,0.0059423039119577,0.005559714560624925,87.5,1.6818907545092725,2.4579852390048647,0.0,0.3269042472005676,0.5277003250179051,0.0,0.8516855739156522,0.19771401380221054,-2.102526569597821,0.9816080216485135,-1.8635944370932496,0.9680628138425943,0.9226653977436493,0.9998327207982528,0.9999608704950163
earnings_move_sens,events,8,0.0061076686362927,0.0058305297094064,100.0,2.31125450051561,2.7288568295409306,0.0,0.5060786054475235,0.5845119611317672,0.0,0.6169414417240904,0.26899466896406027,-1.1313313131871048,0.8703510004750039,-0.7279423329607092,0.7662411921319108,0.9997952194269014,0.9998327207982528,0.9999608704950163
filed_going_concern_120d,edgar,8,0.0064437068074566,0.006213570927459651,100.0,2.3715091094091796,1.89092788050404,100.0,0.534521296553673,0.4226134541893833,100.0,0.51230753901277,0.30450629907838445,1.301948181321945,0.09723105399415521,1.0386200505714833,0.15013052847131153,0.9997952194269014,0.4072842133063303,0.5532523629576998
rate_beta_120,rates,8,0.0063030204457376,0.006200251513815888,62.5,2.3647562603953123,1.94936936069981,75.0,0.4920271682103123,0.40268611499164847,75.0,0.22877483771970322,0.4096412245904143,1.1253294678936983,0.1309127828484633,0.8291770018227816,0.2040064605283649,0.9997952194269014,0.4072842133063303,0.5627787870424261
net_issuance_pct,issuance,8,0.0062437907016184,0.006160805497996212,62.5,1.909023448071449,1.8803731966868302,50.0,0.4299186382622502,0.420266172217204,50.0,0.18473410335980636,0.4268143013301846,0.07761672833040187,0.4691060561812086,0.08958482765855263,0.46435430882312495,0.9997952194269014,0.9998327207982528,0.9999608704950163
filed_item402_240d,edgar,8,0.0062654471960074,0.006217148995778226,100.0,2.6296061631916254,1.8958061391757983,100.0,0.5923803876067789,0.42384023456080533,100.0,0.10751705513491454,0.4572443863407931,1.9879461561533083,0.024104795573830377,1.5642262292047695,0.05968878509944431,0.9997952194269014,0.20197420742086708,0.42677738121616327
d_y10_20,rates,8,0.0062731794248846,0.0062731794248846,0.0,1.0629567281587071,1.0629567281587071,0.0,0.1116304113208596,0.1116304113208596,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.9997952194269014,0.9998327207982528,0.9999608704950163
volatility_60_ind_rel,sector,8,0.0064645301610739,0.006551179898211587,37.5,0.845809796040741,2.193638790563773,0.0,0.0506852307417358,0.4854315646480908,0.0,-0.19289175416584448,0.5763782648419277,-3.65141916206349,0.9998327207982528,-4.034893799826067,0.9999608704950163,0.9997952194269014,0.9998327207982528,0.9999608704950163
rate_beta_250,rates,8,0.0058206881179197,0.0060332856974215,37.5,2.0147479917904945,1.7874153077977746,75.0,0.4322140863964046,0.3492412173779888,75.0,-0.47326537155389453,0.6817247380411577,0.6158696109576507,0.2693475556755147,0.7700736927394073,0.22109166633809596,0.9997952194269014,0.7316320110781461,0.5627787870424261
earnings_in_window,events,8,0.0053361312897291,0.005555875643788337,37.5,1.056267752315545,1.336449649693627,25.0,0.1129532407873691,0.20719464089564055,25.0,-0.48917487026156264,0.687367568199454,-0.7590440279196352,0.7756309573311495,-0.8746572686814179,0.8085845401995113,0.9997952194269014,0.9998327207982528,0.9999608704950163
gross_margin_delta,events,8,0.0055665155329677,0.005810125974460813,25.0,2.0847093803801457,2.3427399619554587,37.5,0.4241778746243339,0.4932690030843202,12.5,-0.5423033807714176,0.705887214223968,-0.6990336413529232,0.7573201585251643,-0.6412368411282194,0.7389410389527162,0.9997952194269014,0.9998327207982528,0.9999608704950163
momentum_5_ind_rel,sector,8,0.0061241652218129,0.0064610506277243875,12.5,1.0997206804885156,1.5527672208220662,0.0,0.1482854891262371,0.310703663769483,0.0,-0.749943612591483,0.7729060442340434,-1.227353637147348,0.8894190975615249,-1.5074079635327333,0.9333418925047428,0.9997952194269014,0.9998327207982528,0.9999608704950163
days_to_next_filing_est,events,8,0.004684919146267,0.00505267223475055,25.0,2.6163618036915257,1.3429931995066033,100.0,0.528675773039383,0.1942569739361372,100.0,-0.8186584366064517,0.7930122264566011,3.4496976549582685,0.00034354704277604647,3.1037509320035266,0.0010967356522250025,0.9997952194269014,0.0096193171977293,0.030708598262300067
earnings_in_window_seasonal,events,8,0.005551478909937,0.005921077058970587,25.0,2.272309991517648,1.815948961849104,87.5,0.4820447577848797,0.37524062713872847,87.5,-0.8227657423848109,0.7941794534967692,1.2363329586483907,0.10890716529726402,0.9912523486231277,0.16139226006068158,0.9997952194269014,0.4072842133063303,0.5532523629576998
