feature,ic_all_days,ic_offset0,t_offset0,ic_min,ic_max,t_min,t_max,n_grids,sign_flips,n_grids_abs_t_ge2
accel_20,-0.0010842360803101012,0.02180871174673682,1.8324503905521323,-0.03496399235432076,0.027208449558139322,-2.6511029702986546,1.9716111665202112,40,21,2
momentum_20,-0.005927919247782826,0.003129788495640961,0.22991422449762206,-0.03875576883050821,0.017009619205270214,-2.55225557569665,1.3318324999133613,40,16,3
volatility_60,-0.010085541961297882,-0.009240004689568104,-0.4090243508450029,-0.01740264811642385,-0.00339711179705278,-0.7989039032983408,-0.15132887507202564,40,0,0
pct_from_high_252,0.01527920596176005,0.018701679847885185,0.9609367247554204,0.0040892484455778725,0.02507092829305524,0.1776713217957725,1.210232255668326,40,0,0
