feature,kind,ic_marg,t_naive_marg,t_nw_marg,n_days_marg,sign_consistency_marg,ic_cond,t_naive_cond,t_nw_cond,n_days_cond,sign_consistency_cond,ic_2007,ic_2008,ic_2009,ic_2010,ic_2011,ic_2012,ic_2013,ic_2014,ic_2015,ic_2016,ic_2017,ic_2018,ic_2019,ic_2020,ic_2021,ic_2022,ic_2023,ic_2024,ic_2025,ic_2026
slope_20,order-aware,-0.0027464389913221974,-2.325378852168687,-0.5637232570823639,4911,0.55,0.003076668046363906,3.1133039978254575,2.1595822822205255,4911,0.8,0.004442523760886728,0.008372747843642291,-0.0038258224993459908,0.00020120179865079106,0.0040911917017792425,0.002716001513981082,0.00522857258472151,0.0032999993892362284,0.007823277068870739,-0.007465918396784886,0.003729031613648175,0.006254917867435936,-0.005409518440268533,0.0013442608343753786,0.017927642194356417,-0.0011889550415946925,0.0003188873949848867,0.007083729346636979,0.004471434827652952,0.0011863983301274863
accel_20,order-aware,-0.002978254511632275,-3.1524844557121,-1.682642197285107,4911,0.75,-0.00326231325696385,-3.1413797059720068,-1.681913042989469,4911,0.65,-0.0073741575010229845,0.0008664704319403532,-0.009099925416952473,-0.005455221448941667,-0.006471651204782367,-0.003270741551177295,0.000359055672580498,-0.010314384205948325,0.0028361571661806263,-0.0040180278018926915,-0.008685564865182804,-0.007304594125128648,0.002427705372579933,-0.009390110242158082,0.007185893734870937,-0.003648898476896437,0.00460033772862224,-0.0046383785591417705,-0.006213409551504686,0.007542767128406273
effratio_20,order-aware,-0.0014335928965668043,-1.2165445625012818,-0.27800053445629763,4911,0.55,-0.002975226118082648,-3.7546260822587096,-1.0934509449168406,4911,0.6,-0.02430412359989096,-0.009593293153021732,-0.008694720003163788,0.015033338057153392,-0.008438354686086084,-0.018578535963393088,-0.013141167868575013,-0.008988007769225642,0.015527235451799938,-0.017327103209975946,-0.003886937803816996,0.007506722425874478,0.003757760733805495,-0.006364277721555112,-0.001374877269246937,0.0029012513087130205,-0.0009245816619307554,0.00024111135626938676,0.01192391413924205,0.012841921481370481
slope_20__s0,SHUFFLE CONTROL,-0.002329199872235812,-2.1862760941122623,-0.5177552994334246,4911,0.5,0.0010485205580674155,2.26778178523258,1.5622866925247325,4911,0.55,0.0005118158771809786,-0.0007866319776546433,-0.0027362523828044433,0.002693362120115672,0.0012157140993282725,0.0017009670457980594,-3.895738924130427e-05,0.005741264864157237,0.0006356796584688371,0.002220690052888944,-0.001797508692949683,-4.4531642692660644e-05,-0.0007050038736849737,-0.003855982968017134,0.008634983120265723,-0.00022664140948684968,0.002193562305657577,-0.003892199287841233,0.004845074218518334,0.008090684541290518
slope_20__s1,SHUFFLE CONTROL,-0.0021009312968296705,-1.9805108858381635,-0.46755246478125134,4911,0.55,0.0009270749364474883,1.9708926167766438,1.2920246334959564,4911,0.65,-6.918675809359782e-05,-0.0032063184702000674,-0.0031669298013985965,0.0020830016846041925,0.00020218753598610047,0.0029799561305850907,0.002640461930825996,0.0018132263721431072,0.0025439732984962947,0.0033685534587172853,-0.001270239095311946,0.0004690311107439315,-0.0032974593244818463,-0.007432333668205869,0.010119259923340548,0.0038986331249349984,-0.0001640896562406796,6.0449951228472435e-06,0.0037079986630278432,0.005669352878862129
slope_20__s2,SHUFFLE CONTROL,-0.002226994121929498,-2.0853921399555935,-0.49354517068904036,4911,0.5,0.001460374587002977,3.0952686999210393,2.118418023709861,4911,0.75,0.0003185116019556211,0.004406628959355466,0.000437928000376121,0.0019748388142596515,-0.001920752551613713,0.0018063734038686796,0.0013628279096115842,0.004006355328078124,0.0015286589340724045,-0.0005331127408156747,0.001485730534518242,0.0015908854848215121,0.0007472813916355223,-0.001635133922363447,0.006267613836326845,0.003298032328230377,-0.0005090098930704039,0.0010065041956374245,-0.0015221772758109615,0.008378928097004875
slope_20__s3,SHUFFLE CONTROL,-0.002162541745974366,-2.020590094338179,-0.477478540667802,4911,0.5,0.0007487857906528195,1.5875608999564323,1.0537573956460728,4911,0.65,0.002891288162358138,0.0019402905352897764,-0.0020217742948610987,0.0009630258063145026,0.00375549955172235,0.0014657952111183348,-0.0016917056235774685,0.0037901868016818057,0.002070237900356492,-0.004534514106259867,-0.0006356488433168994,-0.0005248604159565872,-0.0027833582414598435,-0.003281935693226301,0.0067791932718226046,0.0007718306318059576,0.0013342976060775398,0.0006904758860669032,4.177514048122233e-05,0.006944656399403905
slope_20__s4,SHUFFLE CONTROL,-0.0023330787627702837,-2.192031536169504,-0.5195064063870743,4911,0.5,0.00043120415518206547,0.9246337208773389,0.5899077062011796,4911,0.5,-0.004045481696718848,-0.0023589493341807767,-0.004380344486469858,0.004776231806880406,-0.0008198310812826466,0.0023159223437686192,0.0007619836823002403,0.0059428553387033565,-0.0009893574790885101,-0.0006268031283525917,-0.0035412440872105776,0.0013195449496461533,-0.004482844920735897,-0.0026390091547880017,0.007460897276225021,0.004000670673587779,0.0021729535131848284,0.002255991997650025,-0.0011782660309975874,0.004800583115914371
accel_20__s0,SHUFFLE CONTROL,-0.0006666039524232478,-1.5702796012504894,-1.5883019483692007,4911,0.55,-0.0006256911000471144,-1.4551626102332011,-1.463049604426674,4911,0.6,3.825407744417222e-05,-0.0037867342469552357,-0.0014968855023334143,-0.0011528942042058805,-0.0006012917979355157,-0.0030765265100288785,0.0018710982944605539,0.0011245599643532793,0.0005849477770131566,-0.0005427533151838164,0.001654661345701647,-0.002198153646347392,-0.003960682831433661,-0.0020113400055794027,0.001845143967515523,-0.001767835164006274,-0.001035169118901878,-0.000607950124177574,0.002061252442154932,0.0016591325875473472
accel_20__s1,SHUFFLE CONTROL,-0.00010866665952939053,-0.24617197421555223,-0.23253433309665864,4911,0.5,-4.8990552016741254e-05,-0.10939795570541958,-0.10314134097421554,4911,0.5,0.0012495702081349474,0.0038830272126171915,-0.00030922551289598056,-0.0017804779937466483,-0.0029487303423725835,-0.0033119052808774693,-0.0008842675031775176,-0.0023160228622473022,0.0026121831056577275,-0.0024656895516194537,0.001072130242813986,-0.0015384194598396107,-0.002604243272943807,0.0012432890541713983,0.002295793408093884,0.0023743140964720692,0.00012351306463528555,0.002396241505338571,-0.001041539924386248,0.001835837288095825
