feature,n_win,ic_raw,t_raw,ic_neutral,t_neutral,loyo_min_t,loyo_same_sign
momentum_20,15,-0.15552515876799886,-3.3174164631152054,-0.09565018606789609,-3.336122367435968,-2.212071971794455,True
volatility_60,15,0.184543007850186,2.813252887274152,-0.024730377152267766,-2.2248183332947344,-1.6360732535940727,True
opt_vrp,15,0.038860528263443224,0.9622862028159679,0.046391028745501904,2.1277182697458925,1.239006877204863,True
opt_rr25,15,0.09276052280545635,2.4351447744181423,0.0376708184857426,1.867292722316573,1.3718887769098183,True
opt_bfly25,15,0.04172587694338688,2.7893756421290243,0.0201054392297167,1.1855043551276883,0.7656404825404804,True
opt_iv_pctile,14,0.025712926617045877,0.9391441809900628,-0.015054137409006256,-0.6303403026484802,-0.09724800205406949,True
opt_iv_mom_1m,15,0.03888812963074094,2.125753761939091,0.008339448070063983,0.563729959644048,0.16012897932671669,True
opt_atm_iv,15,0.19766291267363156,2.8360136541686867,0.008852547490930738,0.4028560549891424,-0.10680435434678955,False
opt_implied_move_40,15,0.19766291267363156,2.8360136541686867,0.008852547490930738,0.4028560549891424,-0.10680435434678955,False
opt_vrp_mom_1m,15,0.03804385070777448,1.1560661009191724,-0.002469710582491226,-0.19059003482305903,-0.05857280233354258,False
opt_term_slope,15,-0.02659277582682777,-0.9259930503092595,0.0022310958433376825,0.13722573137256192,-0.007299973336093066,False
