feature,kind,ic_marg,t_naive_marg,t_nw_marg,n_days_marg,sign_consistency_marg,ic_cond,t_naive_cond,t_nw_cond,n_days_cond,sign_consistency_cond,ic_2011,ic_2012,ic_2013,ic_2014
slope_20,order-aware,-0.0042828756375878855,-1.8434250166544068,-0.42694831808475625,1006,0.75,0.0038361638417306054,2.308833975880492,1.8561463986500848,1006,1.0,0.0040911917017792425,0.002716001513981082,0.00522857258472151,0.0032999993892362284
accel_20,order-aware,-0.0045505383783680554,-3.0485648863241406,-1.579688506977498,1006,0.75,-0.004927717973964386,-3.1048734997443748,-1.6821981980738423,1006,0.75,-0.006471651204782367,-0.003270741551177295,0.000359055672580498,-0.010314384205948325
effratio_20,order-aware,-0.003696534927087686,-1.587182327515913,-0.35969407119991226,1006,0.75,-0.012274007586946054,-8.325193695317605,-2.57572285959094,1006,1.0,-0.008438354686086084,-0.018578535963393088,-0.013141167868575013,-0.008988007769225642
slope_20__s0,SHUFFLE CONTROL,-0.0027209096799813573,-1.2833351050661528,-0.29868956676430364,1006,0.5,0.0021556493023449854,2.163874359788272,1.7924888403313217,1006,0.75,0.0012157140993282725,0.0017009670457980594,-3.895738924130427e-05,0.005741264864157237
slope_20__s1,SHUFFLE CONTROL,-0.0027992661711206605,-1.3652813833778992,-0.3237725334153456,1006,0.75,0.001906828771434378,1.9473336169424218,1.5296531863100573,1006,1.0,0.00020218753598610047,0.0029799561305850907,0.002640461930825996,0.0018132263721431072
slope_20__s2,SHUFFLE CONTROL,-0.003633472310815678,-1.7407464291662584,-0.40765352588522463,1006,0.5,0.0013127215545311339,1.2568299518613792,1.0079932527585702,1006,0.75,-0.001920752551613713,0.0018063734038686796,0.0013628279096115842,0.004006355328078124
slope_20__s3,SHUFFLE CONTROL,-0.0029315949148260912,-1.3902067740784065,-0.33062214241671173,1006,0.5,0.0018306679390615401,1.7343453087527878,1.279636228283043,1006,0.75,0.00375549955172235,0.0014657952111183348,-0.0016917056235774685,0.0037901868016818057
slope_20__s4,SHUFFLE CONTROL,-0.002911877547890755,-1.388687185426227,-0.32635261564122453,1006,0.5,0.0020497043605883043,2.031855962125823,1.502956898679017,1006,0.75,-0.0008198310812826466,0.0023159223437686192,0.0007619836823002403,0.0059428553387033565
accel_20__s0,SHUFFLE CONTROL,-0.00034561241615662064,-0.350324575500844,-0.3613462042075538,1006,0.5,-0.0001647627031470015,-0.16806936578512008,-0.16743850752811945,1006,0.5,-0.0006012917979355157,-0.0030765265100288785,0.0018710982944605539,0.0011245599643532793
accel_20__s1,SHUFFLE CONTROL,-0.0023933031963832042,-2.42213221177922,-2.8576829703475077,1006,1.0,-0.002363349441932717,-2.372573856822356,-2.9145774656871133,1006,1.0,-0.0029487303423725835,-0.0033119052808774693,-0.0008842675031775176,-0.0023160228622473022
accel_20__s2,SHUFFLE CONTROL,-0.0005807504558621388,-0.568444945982168,-0.6934030804071585,1006,0.5,-0.0005181920301426106,-0.49911370419727547,-0.5742248114711048,1006,0.75,-0.00017708538572948628,-0.001626297896859721,0.0006091669404836756,-0.0008873462694706024
accel_20__s3,SHUFFLE CONTROL,0.0008684675273695889,0.8636801919602031,0.8401538299033429,1006,0.5,0.001039132467900509,1.0173178247265506,1.06235622877162,1006,0.5,-0.00037756186033668254,0.003588139985440111,0.0017175606125632737,-0.0007513786476714944
accel_20__s4,SHUFFLE CONTROL,3.78910322863915e-05,0.039240137718696694,0.040942016044223435,1006,0.5,-8.79024932392285e-05,-0.08943550601116466,-0.09763154107287063,1006,0.5,3.0212075788188694e-05,-0.0008970250052166721,0.0018296936681197504,-0.0013209123188860977
effratio_20__s0,SHUFFLE CONTROL,-0.003696534927087686,-1.587182327515913,-0.35969407119991226,1006,0.75,-0.012274007586946054,-8.325193695317605,-2.57572285959094,1006,1.0,-0.008438354686086084,-0.018578535963393088,-0.013141167868575013,-0.008988007769225642
effratio_20__s1,SHUFFLE CONTROL,-0.003696534927087686,-1.587182327515913,-0.35969407119991226,1006,0.75,-0.012274007586946054,-8.325193695317605,-2.57572285959094,1006,1.0,-0.008438354686086084,-0.018578535963393088,-0.013141167868575013,-0.008988007769225642
effratio_20__s2,SHUFFLE CONTROL,-0.003696534927087686,-1.587182327515913,-0.35969407119991226,1006,0.75,-0.012274007586946054,-8.325193695317605,-2.57572285959094,1006,1.0,-0.008438354686086084,-0.018578535963393088,-0.013141167868575013,-0.008988007769225642
effratio_20__s3,SHUFFLE CONTROL,-0.003696534927087686,-1.587182327515913,-0.35969407119991226,1006,0.75,-0.012274007586946054,-8.325193695317605,-2.57572285959094,1006,1.0,-0.008438354686086084,-0.018578535963393088,-0.013141167868575013,-0.008988007769225642
effratio_20__s4,SHUFFLE CONTROL,-0.003696534927087686,-1.587182327515913,-0.35969407119991226,1006,0.75,-0.012274007586946054,-8.325193695317605,-2.57572285959094,1006,1.0,-0.008438354686086084,-0.018578535963393088,-0.013141167868575013,-0.008988007769225642
momentum_20,reference,-0.004179401510211713,-1.721387607186359,-0.3939165170543416,1006,0.75,-0.00026569631271326663,-0.24688751549006974,-0.29268830930046663,1006,0.5,0.0007885445798225438,0.001513360985395066,-0.0027643229475524463,-0.0005862483661522902
volatility_60,reference,-0.007096832552743336,-8.456780980711194,-1.7996629205802102,1006,0.75,-0.013293883423108927,-7.093263296919424,-1.5375108259582144,1006,0.5,0.0013430482780229735,-0.042212973172338214,0.004712074977729256,-0.017247200361161074
