feature,ic_early,t_early,ic_late,t_late,n_early,n_late,same_sign,retained,horizon
rate_beta_120,0.008216994213330057,0.3196601351349053,0.009398594679624431,0.36458414318014315,82,82,True,1.1437995982007043,20
rate_beta_250,0.004641075626816662,0.16851456468070322,0.005075303636816274,0.19359200337341984,82,82,True,1.093561933679898,20
curve_beta_120,0.013646673309644884,0.5916915402571238,-0.001981993504913533,-0.09211122060668496,82,82,False,-0.14523638545027268,20
rate_beta_x_move,-0.018601271721639813,-0.7255224140714084,-0.06233824395351921,-2.522239646553215,82,81,True,3.3512893573291516,20
d_y10_20,0.0,,0.0,,82,81,True,,20
rate_beta_120,0.015987631962641902,0.4326279323676903,0.011230860259050813,0.33066623838825204,41,41,True,0.7024717785156565,40
rate_beta_250,0.008165215367595497,0.20965558718236355,0.004580733599436829,0.12933195181994636,41,41,True,0.5610058514336247,40
curve_beta_120,0.01541110304894323,0.4711486309110587,0.007443362948175398,0.2501239733922032,41,41,True,0.482987033733825,40
rate_beta_x_move,-0.028430843814506467,-0.7732651927428453,-0.014119275668938436,-0.42299447265523654,41,41,True,0.4966182418312277,40
d_y10_20,0.0,,0.0,,41,41,True,,40
