level,groups,ic,t_ic,ic_minus_random,decile_pp,t_decile,decile_minus_random_pp
sector,11,-0.0038467984229536606,-0.6257194836205455,-0.009849918911637171,0.3378146671465605,1.7008241511528726,-0.24806452965035466
famaindustry,48,-0.003481368859385448,-0.6231382368498782,-0.008827686193504155,0.24355492550134106,1.33988946939431,-0.32401967141049515
sic2,67,-0.0048838812208165175,-0.9534168505421855,-0.010511187695376296,0.2780061302225756,1.4584746155518187,-0.2881349899964763
industry,145,-0.003563364462439354,-0.713902260411363,-0.009515482149123646,0.2040914474037463,1.2816774424830661,-0.3634196254149794
