year,n_dropped,gap_wo,t_wo,gap_year,n_kept
2007,7,0.0013835183299764563,1.2733426369344276,0.00409628314093553,75
2008,6,0.0009019361621017173,1.0888639846971266,0.010648451402508733,76
2009,6,0.0020188860471513,1.9843218572217969,-0.0034995804747859865,76
2010,7,0.002077742655933495,1.979115528914493,-0.003341834637175603,75
2011,6,0.0017747385798474165,1.6737215961103975,-0.00040704588893679194,76
2012,6,0.0016284038902004687,1.5801189816187429,0.0014465268465912158,76
2013,7,0.0016803540804241283,1.5525758393015114,0.0009159001004247635,75
2014,6,0.0015218415689314537,1.4103149986535626,0.0027963162493320746,76
2015,6,0.0015646244379173334,1.4757580739223835,0.002254399908844264,76
2016,6,0.0015120711991495513,1.4107541601635396,0.0029200742665695064,76
2017,7,0.0014774789578387564,1.397387280931515,0.0030895621281251734,75
2018,6,0.0016550087777449651,1.5650316041028587,0.0011095316043609246,76
2019,6,0.0018017291922772724,1.6989831476914175,-0.000748926979714961,76
