features,label,model,n_cols,excess_cagr,mult_ratio,null_pctile,loyo_worst,loyo_all_pos,diag_sector_neutral,cell_id
price_fund,q75,xgb,24,9.148726787847593,2.9380157063172896,1.0,6.2716470826078785,True,-6.807391296160503,price_fund_h40_q75_trd_xgb_d3e01r100_expanding_pit_s40
price_fund,q75,xgb,24,8.710541018376428,2.7957471399010325,1.0,6.229163463638776,True,-4.219773813437078,price_fund_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40
price_fund,q75,xgb,24,7.519620684767614,2.4405791046731813,1.0,4.701780490353946,True,-5.57297913178274,price_fund_h40_q75_trd_xgb_d3e01r100_roll8_pit_s40
price_fund,xrank,xgb_reg,24,6.34617844032368,2.1317947986435457,0.9866666666666667,4.573503216932107,True,-0.20786357822313306,price_fund_h40_xrank_trd_xgb_reg_d3e01r100_expanding_cap500k_pit_s40
volonly,xrank,xgb_reg,2,5.94609836847555,2.0350513353864583,1.0,2.311124662734154,True,-2.2662864188338627,volonly_h40_xrank_trd_xgb_reg_d3e01r100_expanding_cap500k_pit_s40
fund_only,xrank,xgb_reg,13,5.679326627111947,1.972813304837263,0.9933333333333333,3.7781563875671997,True,1.6561382253280188,fund_only_h40_xrank_trd_xgb_reg_d3e01r100_expanding_cap500k_pit_s40
price_fund_events,q75,xgb,38,5.173838999309011,1.8596760269746944,1.0,2.6346511347359103,True,-2.9754690193621647,price_fund_events_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40
volonly,q75,xgb,2,5.039226989718348,1.8305742636047717,0.98,2.1269264138042088,True,-6.206457852973724,volonly_h40_q75_trd_xgb_d3e01r100_expanding_pit_s40
price_fund,q75,xgb,24,4.165122825238199,1.6515974198851373,0.9533333333333334,1.4692629069341878,True,-4.731517720932987,price_fund_h40_q75_trd_xgb_d3e01r100_roll5_pit_s40
price_fund_causal_events,q75,xgb,34,4.090549587214798,1.6371018738514282,0.98,1.8908113626281864,True,-2.1416496102339977,price_fund_causal_events_h40_q75_trd_xgb_d3e01r100_expanding_cap500k_pit_s40
price_fund,q75,xgb,24,4.073273989385684,1.6337606426025633,0.9666666666666667,0.5860550345142768,True,-7.0889579948405945,price_fund_h40_q75_pub_xgb_d3e01r100_expanding_pit_s40
price_fund_rates,xrank,xgb_reg,29,4.017414062814795,1.6229999508697273,0.9533333333333334,2.120223894278417,True,-0.9510606603196248,price_fund_rates_h40_xrank_trd_xgb_reg_d3e01r100_expanding_cap500k_pit_s40
price_fund,q75,xgb,24,3.9529930495104004,1.6106713370220471,0.9933333333333333,1.6052447949978177,True,-1.3432725675281088,price_fund_h40_q75_trd_xgb_d3e01r100_expanding_pit_mega_s40
price_fund_events,xrank,xgb_reg,38,3.916607717003351,1.6037463345887188,0.9466666666666667,1.6011324162207519,True,0.5694299032822148,price_fund_events_h40_xrank_trd_xgb_reg_d3e01r100_expanding_cap500k_pit_s40
price_fund,q75,xgb,24,3.5687506807184244,1.5389144804010029,0.9533333333333334,1.0924703957285065,True,-5.534747079024749,price_fund_h40_q75_trd_xgb_d3e01r100_expanding_cap1500k_pit_s40
fund_events,xrank,ridge,23,3.4717437482280955,1.5212712500509384,0.9733333333333334,1.0217233306797802,True,-2.7862310363585774,fund_events_h40_xrank_trd_ridge_expanding_cap500k_pit_s40
