feature,ic,t_naive,t_nw,n_days,ic_2019,ic_2020,ic_2021,ic_2022,ic_2023
opt_vrp,0.011291252846855507,3.532476473397568,1.173356270795445,578,,0.03456330118058699,-0.017184904947695798,0.0014836952078857713,0.02653316559254242
opt_iv_pctile,0.003854008940263763,1.1859907897994788,0.32360168044257404,573,,-0.035732856077481896,-0.002371005890728509,0.03832875489986368,0.01640856189176102
opt_iv_mom_1m,0.00672629735498624,2.594527990735923,1.0155247158527272,565,,-0.004821795081618379,0.006275898565202576,0.020818286697920414,0.004911800358975798
opt_vrp_mom_1m,-0.002580253055972467,-1.073327674972742,-0.43079976406772214,565,,0.006093222958567165,-0.01623314977120969,0.00037460974996033334,3.577885525195921e-05
opt_atm_iv,-0.012073181854461998,-4.609200207298055,-1.2269590432016788,586,,0.009009867966419343,-0.03572383990327419,-0.013568792267341492,-0.007853355994050924
opt_rr25,0.011777772963711885,4.0211071389039255,1.3301301390178863,585,,-0.007508806072740452,0.03458308646887798,-0.001919949233995453,0.021597101959854315
opt_bfly25,-0.006276128390194945,-2.782709350095367,-1.2118594566891385,585,,-0.005905772042661669,0.002573202225173549,-0.012745296356142043,-0.009047218311036002
opt_term_slope,-0.001630659565057553,-0.5956646917925694,-0.32306004584890796,586,,0.013155912563985423,-0.00044523174468207813,-0.012473741749068871,-0.0070336492340517445
momentum_20,-0.01989052903701281,-4.135685243348711,-1.4927929898521124,586,,-0.012244315631838797,-0.03580604221128552,-0.016080927782175396,-0.016001811074761188
volatility_60,-0.022830338276313266,-16.697433148390974,-4.780750445114073,586,,-0.021282326791413515,-0.021398324087131538,-0.014954970889816658,-0.03371955962031889
