stage,n_windows,mean_positions,N_w,ceiling,BR_eff,BR_eff_annual,rho_bar,capture,vol_calibration_k,active_mean,active_sd,IR_per_window
raw (vs SPY),124,5.0,4.399254509854363,5.0,3.9166168782652075,24.674686333070806,0.06915299322145192,0.7833233756530416,1.0624110795594988,0.015205476566973119,0.06262850828405081,0.24278841989990999
resid: size,124,5.0,4.399254509854363,5.0,4.850537627710419,30.558387054575636,0.007703392065022026,0.9701075255420838,1.0236414630323762,0.01743677076860752,0.056747086568839415,0.30727164728457235
resid: size_vol,124,5.0,4.399254509854363,5.0,4.411180102221551,27.79043464399577,0.033370882855242555,0.8822360204443103,1.0034406579312767,0.01738354422699947,0.05825730310384264,0.2983925327956497
resid: size_vol_sector,124,5.0,4.399254509854363,5.0,4.625161243594486,29.13851583464526,0.020260848036629947,0.9250322487188972,0.9696983843676251,0.013309886248304587,0.05399394817254926,0.24650700122484073
